IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Diamond_Choice	House_Choice	DarkBlue_Choice	Pacman_Choice	LightYellow_Choice	Puzzle_Choice	Nail_Choice	Heart_Choice
Bell_Probe	LightPurple_Probe	Lock_Probe	Diamond_Probe	Chevron_Probe	DarkGreen_Probe	Bell_Probe	DarkYellow_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Bell_Choice	LightPurple_Choice	Lock_Choice	Diamond_Choice	Chevron_Choice	DarkGreen_Choice	Bell_Choice	DarkYellow_Choice
DarkBlue_Probe	Venn_Probe	Crowbar_Probe	DarkGray_Probe	Nail_Probe	Tie_Probe	DarkTurquiose_Probe	Puzzle_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
DarkBlue_Choice	Venn_Choice	Crowbar_Choice	DarkGray_Choice	Nail_Choice	Tie_Choice	DarkTurquiose_Choice	Puzzle_Choice
Hourglass_Probe	Ditto_Probe	LightGreen_Probe	LeftArrow_Probe	DarkGreen_Probe	Dodecagon_Probe	Sawblade_Probe	Stickyhand_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Hourglass_Choice	Ditto_Choice	LightGreen_Choice	LeftArrow_Choice	DarkGreen_Choice	Dodecagon_Choice	Sawblade_Choice	Stickyhand_Choice
Ditto_Probe	DarkTurquiose_Probe	Dodecagon_Probe	Dodecagon_Probe	Bell_Probe	LightRed_Probe	Ditto_Probe	DarkGray_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Ditto_Choice	DarkTurquiose_Choice	Dodecagon_Choice	Dodecagon_Choice	Bell_Choice	LightRed_Choice	Ditto_Choice	DarkGray_Choice
LightPurple_Probe	Nail_Probe	Jellyfish_Probe	DarkGreen_Probe	Dodecagon_Probe	Crowbar_Probe	LightGray_Probe	Venn_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
LightPurple_Choice	Nail_Choice	Jellyfish_Choice	DarkGreen_Choice	Dodecagon_Choice	Crowbar_Choice	LightGray_Choice	Venn_Choice
Nail_Probe	Bell_Probe	LightPurple_Probe	Bell_Probe	DarkGray_Probe	Venn_Probe	Puzzle_Probe	Gem_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Nail_Choice	Bell_Choice	LightPurple_Choice	Bell_Choice	DarkGray_Choice	Venn_Choice	Puzzle_Choice	Gem_Choice
Chevron_Probe	DarkBlue_Probe	Hourglass_Probe	Hat_Probe	Pacman_Probe	LightBlue_Probe	Acorn_Probe	LightRed_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Chevron_Choice	DarkBlue_Choice	Hourglass_Choice	Hat_Choice	Pacman_Choice	LightBlue_Choice	Acorn_Choice	LightRed_Choice
LightGray_Probe	Puzzle_Probe	Heart_Probe	DarkPurple_Probe	Hourglass_Probe	Star_Probe	DarkGray_Probe	Spike_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
LightGray_Choice	Puzzle_Choice	Heart_Choice	DarkPurple_Choice	Hourglass_Choice	Star_Choice	DarkGray_Choice	Spike_Choice
Dodecagon_Probe	Acorn_Probe	LightRed_Probe	Tie_Probe	LightTurquiose_Probe	UpArrow_Probe	Rabbit_Probe	Crowbar_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon_Choice	Acorn_Choice	LightRed_Choice	Tie_Choice	LightTurquiose_Choice	UpArrow_Choice	Rabbit_Choice	Crowbar_Choice
Pacman_Probe	DarkYellow_Probe	Venn_Probe	Venn_Probe	House_Probe	DarkBlue_Probe	Jellyfish_Probe	LightTurquiose_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
Pacman_Choice	DarkYellow_Choice	Venn_Choice	Venn_Choice	House_Choice	DarkBlue_Choice	Jellyfish_Choice	LightTurquiose_Choice
DarkYellow_Probe	Hourglass_Probe	Bell_Probe	DarkTurquiose_Probe	Diamond_Probe	Pacman_Probe	LightRed_Probe	Diamond_Probe
Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background
DarkYellow_Choice	Hourglass_Choice	Bell_Choice	DarkTurquiose_Choice	Diamond_Choice	Pacman_Choice	LightRed_Choice	Diamond_Choice
