IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA22	IMA23	IMA24	IMA25	IMA26	IMA27	IMA28	IMA29	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
LightYellow_Probe	DarkBlue	Diamond	Hourglass_Probe	Hourglass_Probe	Ditto	DarkRed	Dodecagon	Star	LightYellow	LightPurple	Diamond_Probe	Tie_Probe	LightYellow_Probe	Lock	Chevron	LightBlue	Bar_Probe	Lock	Tie	Diamond_Probe	Bar_Probe	Gem	Ditto	House_Probe	LightYellow	DarkTurquiose	DarkGreen
LightYellow_Probe	DarkBlue	Diamond	Hourglass_Probe	Hourglass_Probe	Ditto	DarkRed	Dodecagon	Star	LightYellow	LightPurple	Diamond_Probe	Tie_Probe	LightYellow_Probe	Lock	Chevron	LightBlue	Bar_Probe	Lock	Tie	Diamond_Probe	Bar_Probe	Gem	Ditto	House_Probe	LightYellow	DarkTurquiose	DarkGreen
LightYellow_Probe	DarkBlue	Diamond	Hourglass_Probe	Hourglass_Probe	Ditto	DarkRed	Dodecagon	Star	LightYellow	LightPurple	Diamond_Probe	Tie_Probe	LightYellow_Probe	Lock	Chevron	LightBlue	Bar_Probe	Lock	Tie	Diamond_Probe	Bar_Probe	Gem	Ditto	House_Probe	LightYellow	DarkTurquiose	DarkGreen
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightYellow_Choice	Background	Background	Hourglass_Choice	Hourglass_Choice	Background	Background	Background	Background	Background	Background	Diamond_Choice	Tie_Choice	LightYellow_Choice	Background	Background	Background	Bar_Choice	Background	Background	Diamond_Choice	Bar_Choice	Background	Background	House_Choice	Background	Background	Background
Acorn	House	DarkYellow	DarkYellow	LightGray_Probe	Dodecagon_Probe	Diamond	LeftArrow_Probe	DarkPurple_Probe	LeftArrow	Dodecagon_Probe	DarkYellow	Rabbit	UpArrow	House	LightGray	Ditto	DarkPurple	LightTurquiose_Probe	Rabbit	Stickyhand	Ditto	DarkYellow	LightGray	LightPurple	Heart	Chevron	Bell
Acorn	House	DarkYellow	DarkYellow	LightGray_Probe	Dodecagon_Probe	Diamond	LeftArrow_Probe	DarkPurple_Probe	LeftArrow	Dodecagon_Probe	DarkYellow	Rabbit	UpArrow	House	LightGray	Ditto	DarkPurple	LightTurquiose_Probe	Rabbit	Stickyhand	Ditto	DarkYellow	LightGray	LightPurple	Heart	Chevron	Bell
Acorn	House	DarkYellow	DarkYellow	LightGray_Probe	Dodecagon_Probe	Diamond	LeftArrow_Probe	DarkPurple_Probe	LeftArrow	Dodecagon_Probe	DarkYellow	Rabbit	UpArrow	House	LightGray	Ditto	DarkPurple	LightTurquiose_Probe	Rabbit	Stickyhand	Ditto	DarkYellow	LightGray	LightPurple	Heart	Chevron	Bell
Acorn	House	DarkYellow	DarkYellow	LightGray_Probe	Dodecagon_Probe	Diamond	LeftArrow_Probe	DarkPurple_Probe	LeftArrow	Dodecagon_Probe	DarkYellow	Rabbit	UpArrow	House	LightGray	Ditto	DarkPurple	LightTurquiose_Probe	Rabbit	Stickyhand	Ditto	DarkYellow	LightGray	LightPurple	Heart	Chevron	Bell
Acorn	House	DarkYellow	DarkYellow	LightGray_Probe	Dodecagon_Probe	Diamond	LeftArrow_Probe	DarkPurple_Probe	LeftArrow	Dodecagon_Probe	DarkYellow	Rabbit	UpArrow	House	LightGray	Ditto	DarkPurple	LightTurquiose_Probe	Rabbit	Stickyhand	Ditto	DarkYellow	LightGray	LightPurple	Heart	Chevron	Bell
Acorn	House	DarkYellow	DarkYellow	LightGray_Probe	Dodecagon_Probe	Diamond	LeftArrow_Probe	DarkPurple_Probe	LeftArrow	Dodecagon_Probe	DarkYellow	Rabbit	UpArrow	House	LightGray	Ditto	DarkPurple	LightTurquiose_Probe	Rabbit	Stickyhand	Ditto	DarkYellow	LightGray	LightPurple	Heart	Chevron	Bell
Acorn	House	DarkYellow	DarkYellow	LightGray_Probe	Dodecagon_Probe	Diamond	LeftArrow_Probe	DarkPurple_Probe	LeftArrow	Dodecagon_Probe	DarkYellow	Rabbit	UpArrow	House	LightGray	Ditto	DarkPurple	LightTurquiose_Probe	Rabbit	Stickyhand	Ditto	DarkYellow	LightGray	LightPurple	Heart	Chevron	Bell
Acorn	House	DarkYellow	DarkYellow	LightGray_Probe	Dodecagon_Probe	Diamond	LeftArrow_Probe	DarkPurple_Probe	LeftArrow	Dodecagon_Probe	DarkYellow	Rabbit	UpArrow	House	LightGray	Ditto	DarkPurple	LightTurquiose_Probe	Rabbit	Stickyhand	Ditto	DarkYellow	LightGray	LightPurple	Heart	Chevron	Bell
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	LightGray_Choice	Dodecagon_Choice	Background	LeftArrow_Choice	DarkPurple_Choice	Background	Dodecagon_Choice	Background	Background	Background	Background	Background	Background	Background	LightTurquiose_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	Nail_Probe	Bell	Tie_Probe	Tie	DarkBlue	Acorn_Probe	DarkGreen	Spike	Lock_Probe	Bell	Tie	DarkGray	Stickyhand	DarkGreen	Lock	Nail	Gem	Pacman	DarkRed	LightPurple	LightYellow	Venn	Sawblade	Nail_Probe	Spike	Rabbit	Bar
UpArrow	Nail_Probe	Bell	Tie_Probe	Tie	DarkBlue	Acorn_Probe	DarkGreen	Spike	Lock_Probe	Bell	Tie	DarkGray	Stickyhand	DarkGreen	Lock	Nail	Gem	Pacman	DarkRed	LightPurple	LightYellow	Venn	Sawblade	Nail_Probe	Spike	Rabbit	Bar
UpArrow	Nail_Probe	Bell	Tie_Probe	Tie	DarkBlue	Acorn_Probe	DarkGreen	Spike	Lock_Probe	Bell	Tie	DarkGray	Stickyhand	DarkGreen	Lock	Nail	Gem	Pacman	DarkRed	LightPurple	LightYellow	Venn	Sawblade	Nail_Probe	Spike	Rabbit	Bar
UpArrow	Nail_Probe	Bell	Tie_Probe	Tie	DarkBlue	Acorn_Probe	DarkGreen	Spike	Lock_Probe	Bell	Tie	DarkGray	Stickyhand	DarkGreen	Lock	Nail	Gem	Pacman	DarkRed	LightPurple	LightYellow	Venn	Sawblade	Nail_Probe	Spike	Rabbit	Bar
UpArrow	Nail_Probe	Bell	Tie_Probe	Tie	DarkBlue	Acorn_Probe	DarkGreen	Spike	Lock_Probe	Bell	Tie	DarkGray	Stickyhand	DarkGreen	Lock	Nail	Gem	Pacman	DarkRed	LightPurple	LightYellow	Venn	Sawblade	Nail_Probe	Spike	Rabbit	Bar
UpArrow	Nail_Probe	Bell	Tie_Probe	Tie	DarkBlue	Acorn_Probe	DarkGreen	Spike	Lock_Probe	Bell	Tie	DarkGray	Stickyhand	DarkGreen	Lock	Nail	Gem	Pacman	DarkRed	LightPurple	LightYellow	Venn	Sawblade	Nail_Probe	Spike	Rabbit	Bar
UpArrow	Nail_Probe	Bell	Tie_Probe	Tie	DarkBlue	Acorn_Probe	DarkGreen	Spike	Lock_Probe	Bell	Tie	DarkGray	Stickyhand	DarkGreen	Lock	Nail	Gem	Pacman	DarkRed	LightPurple	LightYellow	Venn	Sawblade	Nail_Probe	Spike	Rabbit	Bar
UpArrow	Nail_Probe	Bell	Tie_Probe	Tie	DarkBlue	Acorn_Probe	DarkGreen	Spike	Lock_Probe	Bell	Tie	DarkGray	Stickyhand	DarkGreen	Lock	Nail	Gem	Pacman	DarkRed	LightPurple	LightYellow	Venn	Sawblade	Nail_Probe	Spike	Rabbit	Bar
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Nail_Choice	Background	Tie_Choice	Background	Background	Acorn_Choice	Background	Background	Lock_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Sawblade_Choice	Nail_Choice	Background	Background	Background
DarkPurple	LightYellow	Nail_Probe	Bar	Spade	Chevron	LightGray	Sawblade	Chevron	DarkGreen	DarkTurquiose	Nail	LeftArrow	LightRed	Spike	Heart	DarkTurquiose	Lock	Diamond_Probe	Gem	UpArrow	Sawblade	Stickyhand	Bell	Star	LightBlue	DarkYellow	LightTurquiose
DarkPurple	LightYellow	Nail_Probe	Bar	Spade	Chevron	LightGray	Sawblade	Chevron	DarkGreen	DarkTurquiose	Nail	LeftArrow	LightRed	Spike	Heart	DarkTurquiose	Lock	Diamond_Probe	Gem	UpArrow	Sawblade	Stickyhand	Bell	Star	LightBlue	DarkYellow	LightTurquiose
DarkPurple	LightYellow	Nail_Probe	Bar	Spade	Chevron	LightGray	Sawblade	Chevron	DarkGreen	DarkTurquiose	Nail	LeftArrow	LightRed	Spike	Heart	DarkTurquiose	Lock	Diamond_Probe	Gem	UpArrow	Sawblade	Stickyhand	Bell	Star	LightBlue	DarkYellow	LightTurquiose
DarkPurple	LightYellow	Nail_Probe	Bar	Spade	Chevron	LightGray	Sawblade	Chevron	DarkGreen	DarkTurquiose	Nail	LeftArrow	LightRed	Spike	Heart	DarkTurquiose	Lock	Diamond_Probe	Gem	UpArrow	Sawblade	Stickyhand	Bell	Star	LightBlue	DarkYellow	LightTurquiose
DarkPurple	LightYellow	Nail_Probe	Bar	Spade	Chevron	LightGray	Sawblade	Chevron	DarkGreen	DarkTurquiose	Nail	LeftArrow	LightRed	Spike	Heart	DarkTurquiose	Lock	Diamond_Probe	Gem	UpArrow	Sawblade	Stickyhand	Bell	Star	LightBlue	DarkYellow	LightTurquiose
DarkPurple	LightYellow	Nail_Probe	Bar	Spade	Chevron	LightGray	Sawblade	Chevron	DarkGreen	DarkTurquiose	Nail	LeftArrow	LightRed	Spike	Heart	DarkTurquiose	Lock	Diamond_Probe	Gem	UpArrow	Sawblade	Stickyhand	Bell	Star	LightBlue	DarkYellow	LightTurquiose
DarkPurple	LightYellow	Nail_Probe	Bar	Spade	Chevron	LightGray	Sawblade	Chevron	DarkGreen	DarkTurquiose	Nail	LeftArrow	LightRed	Spike	Heart	DarkTurquiose	Lock	Diamond_Probe	Gem	UpArrow	Sawblade	Stickyhand	Bell	Star	LightBlue	DarkYellow	LightTurquiose
DarkPurple	LightYellow	Nail_Probe	Bar	Spade	Chevron	LightGray	Sawblade	Chevron	DarkGreen	DarkTurquiose	Nail	LeftArrow	LightRed	Spike	Heart	DarkTurquiose	Lock	Diamond_Probe	Gem	UpArrow	Sawblade	Stickyhand	Bell	Star	LightBlue	DarkYellow	LightTurquiose
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Nail_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Diamond_Choice	Background	Background	Background	Stickyhand_Choice	Background	Background	Background	Background	Background
Jellyfish_Probe	Tie	LightGray	LightRed	LightYellow	Venn	UpArrow	Heart	DarkGreen	Gem	Sawblade	DarkGreen_Probe	UpArrow	Bar_Probe	Bell_Probe	LightBlue	Heart	LightTurquiose	LightBlue	Hourglass	Pacman_Probe	Stickyhand	DarkBlue	LightYellow	DarkGreen	Ditto	Bell	Star_Probe
Jellyfish_Probe	Tie	LightGray	LightRed	LightYellow	Venn	UpArrow	Heart	DarkGreen	Gem	Sawblade	DarkGreen_Probe	UpArrow	Bar_Probe	Bell_Probe	LightBlue	Heart	LightTurquiose	LightBlue	Hourglass	Pacman_Probe	Stickyhand	DarkBlue	LightYellow	DarkGreen	Ditto	Bell	Star_Probe
Jellyfish_Probe	Tie	LightGray	LightRed	LightYellow	Venn	UpArrow	Heart	DarkGreen	Gem	Sawblade	DarkGreen_Probe	UpArrow	Bar_Probe	Bell_Probe	LightBlue	Heart	LightTurquiose	LightBlue	Hourglass	Pacman_Probe	Stickyhand	DarkBlue	LightYellow	DarkGreen	Ditto	Bell	Star_Probe
Jellyfish_Probe	Tie	LightGray	LightRed	LightYellow	Venn	UpArrow	Heart	DarkGreen	Gem	Sawblade	DarkGreen_Probe	UpArrow	Bar_Probe	Bell_Probe	LightBlue	Heart	LightTurquiose	LightBlue	Hourglass	Pacman_Probe	Stickyhand	DarkBlue	LightYellow	DarkGreen	Ditto	Bell	Star_Probe
Jellyfish_Probe	Tie	LightGray	LightRed	LightYellow	Venn	UpArrow	Heart	DarkGreen	Gem	Sawblade	DarkGreen_Probe	UpArrow	Bar_Probe	Bell_Probe	LightBlue	Heart	LightTurquiose	LightBlue	Hourglass	Pacman_Probe	Stickyhand	DarkBlue	LightYellow	DarkGreen	Ditto	Bell	Star_Probe
Jellyfish_Probe	Tie	LightGray	LightRed	LightYellow	Venn	UpArrow	Heart	DarkGreen	Gem	Sawblade	DarkGreen_Probe	UpArrow	Bar_Probe	Bell_Probe	LightBlue	Heart	LightTurquiose	LightBlue	Hourglass	Pacman_Probe	Stickyhand	DarkBlue	LightYellow	DarkGreen	Ditto	Bell	Star_Probe
Jellyfish_Probe	Tie	LightGray	LightRed	LightYellow	Venn	UpArrow	Heart	DarkGreen	Gem	Sawblade	DarkGreen_Probe	UpArrow	Bar_Probe	Bell_Probe	LightBlue	Heart	LightTurquiose	LightBlue	Hourglass	Pacman_Probe	Stickyhand	DarkBlue	LightYellow	DarkGreen	Ditto	Bell	Star_Probe
Jellyfish_Probe	Tie	LightGray	LightRed	LightYellow	Venn	UpArrow	Heart	DarkGreen	Gem	Sawblade	DarkGreen_Probe	UpArrow	Bar_Probe	Bell_Probe	LightBlue	Heart	LightTurquiose	LightBlue	Hourglass	Pacman_Probe	Stickyhand	DarkBlue	LightYellow	DarkGreen	Ditto	Bell	Star_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Jellyfish_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	DarkGreen_Choice	Background	Bar_Choice	Bell_Choice	Background	Background	Background	Background	Background	Pacman_Choice	Background	DarkBlue_Choice	LightYellow_Choice	Background	Background	Background	Star_Choice
Dodecagon	Bar	Gem	Stickyhand	Heart	DarkYellow	Stickyhand_Probe	LightGray	UpArrow_Probe	Spike	House	Stickyhand	LightGray	House	DarkBlue	Hat_Probe	Sawblade_Probe	Stickyhand_Probe	Tie	LightYellow	LightGreen	DarkPurple_Probe	Bar	Spike	Venn	Hat_Probe	Spike_Probe	Nail
Dodecagon	Bar	Gem	Stickyhand	Heart	DarkYellow	Stickyhand_Probe	LightGray	UpArrow_Probe	Spike	House	Stickyhand	LightGray	House	DarkBlue	Hat_Probe	Sawblade_Probe	Stickyhand_Probe	Tie	LightYellow	LightGreen	DarkPurple_Probe	Bar	Spike	Venn	Hat_Probe	Spike_Probe	Nail
Dodecagon	Bar	Gem	Stickyhand	Heart	DarkYellow	Stickyhand_Probe	LightGray	UpArrow_Probe	Spike	House	Stickyhand	LightGray	House	DarkBlue	Hat_Probe	Sawblade_Probe	Stickyhand_Probe	Tie	LightYellow	LightGreen	DarkPurple_Probe	Bar	Spike	Venn	Hat_Probe	Spike_Probe	Nail
Dodecagon	Bar	Gem	Stickyhand	Heart	DarkYellow	Stickyhand_Probe	LightGray	UpArrow_Probe	Spike	House	Stickyhand	LightGray	House	DarkBlue	Hat_Probe	Sawblade_Probe	Stickyhand_Probe	Tie	LightYellow	LightGreen	DarkPurple_Probe	Bar	Spike	Venn	Hat_Probe	Spike_Probe	Nail
Dodecagon	Bar	Gem	Stickyhand	Heart	DarkYellow	Stickyhand_Probe	LightGray	UpArrow_Probe	Spike	House	Stickyhand	LightGray	House	DarkBlue	Hat_Probe	Sawblade_Probe	Stickyhand_Probe	Tie	LightYellow	LightGreen	DarkPurple_Probe	Bar	Spike	Venn	Hat_Probe	Spike_Probe	Nail
Dodecagon	Bar	Gem	Stickyhand	Heart	DarkYellow	Stickyhand_Probe	LightGray	UpArrow_Probe	Spike	House	Stickyhand	LightGray	House	DarkBlue	Hat_Probe	Sawblade_Probe	Stickyhand_Probe	Tie	LightYellow	LightGreen	DarkPurple_Probe	Bar	Spike	Venn	Hat_Probe	Spike_Probe	Nail
Dodecagon	Bar	Gem	Stickyhand	Heart	DarkYellow	Stickyhand_Probe	LightGray	UpArrow_Probe	Spike	House	Stickyhand	LightGray	House	DarkBlue	Hat_Probe	Sawblade_Probe	Stickyhand_Probe	Tie	LightYellow	LightGreen	DarkPurple_Probe	Bar	Spike	Venn	Hat_Probe	Spike_Probe	Nail
Dodecagon	Bar	Gem	Stickyhand	Heart	DarkYellow	Stickyhand_Probe	LightGray	UpArrow_Probe	Spike	House	Stickyhand	LightGray	House	DarkBlue	Hat_Probe	Sawblade_Probe	Stickyhand_Probe	Tie	LightYellow	LightGreen	DarkPurple_Probe	Bar	Spike	Venn	Hat_Probe	Spike_Probe	Nail
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Stickyhand_Choice	Background	UpArrow_Choice	Background	Background	Background	Background	Background	Background	Hat_Choice	Sawblade_Choice	Stickyhand_Choice	Background	Background	Background	DarkPurple_Choice	Background	Background	Background	Hat_Choice	Spike_Choice	Background
LightBlue	LightGreen	Spade	Rabbit	Nail	Bell	DarkYellow	Rabbit	House	DarkTurquiose_Probe	LightBlue_Probe	Hourglass	Heart	DarkRed	Venn	Gem	LightPurple	Hat	Hat	Heart	Spike	UpArrow	Jellyfish	Stickyhand	Acorn	DarkBlue_Probe	LightGreen_Probe	DarkGray_Probe
LightBlue	LightGreen	Spade	Rabbit	Nail	Bell	DarkYellow	Rabbit	House	DarkTurquiose_Probe	LightBlue_Probe	Hourglass	Heart	DarkRed	Venn	Gem	LightPurple	Hat	Hat	Heart	Spike	UpArrow	Jellyfish	Stickyhand	Acorn	DarkBlue_Probe	LightGreen_Probe	DarkGray_Probe
LightBlue	LightGreen	Spade	Rabbit	Nail	Bell	DarkYellow	Rabbit	House	DarkTurquiose_Probe	LightBlue_Probe	Hourglass	Heart	DarkRed	Venn	Gem	LightPurple	Hat	Hat	Heart	Spike	UpArrow	Jellyfish	Stickyhand	Acorn	DarkBlue_Probe	LightGreen_Probe	DarkGray_Probe
LightBlue	LightGreen	Spade	Rabbit	Nail	Bell	DarkYellow	Rabbit	House	DarkTurquiose_Probe	LightBlue_Probe	Hourglass	Heart	DarkRed	Venn	Gem	LightPurple	Hat	Hat	Heart	Spike	UpArrow	Jellyfish	Stickyhand	Acorn	DarkBlue_Probe	LightGreen_Probe	DarkGray_Probe
LightBlue	LightGreen	Spade	Rabbit	Nail	Bell	DarkYellow	Rabbit	House	DarkTurquiose_Probe	LightBlue_Probe	Hourglass	Heart	DarkRed	Venn	Gem	LightPurple	Hat	Hat	Heart	Spike	UpArrow	Jellyfish	Stickyhand	Acorn	DarkBlue_Probe	LightGreen_Probe	DarkGray_Probe
LightBlue	LightGreen	Spade	Rabbit	Nail	Bell	DarkYellow	Rabbit	House	DarkTurquiose_Probe	LightBlue_Probe	Hourglass	Heart	DarkRed	Venn	Gem	LightPurple	Hat	Hat	Heart	Spike	UpArrow	Jellyfish	Stickyhand	Acorn	DarkBlue_Probe	LightGreen_Probe	DarkGray_Probe
LightBlue	LightGreen	Spade	Rabbit	Nail	Bell	DarkYellow	Rabbit	House	DarkTurquiose_Probe	LightBlue_Probe	Hourglass	Heart	DarkRed	Venn	Gem	LightPurple	Hat	Hat	Heart	Spike	UpArrow	Jellyfish	Stickyhand	Acorn	DarkBlue_Probe	LightGreen_Probe	DarkGray_Probe
LightBlue	LightGreen	Spade	Rabbit	Nail	Bell	DarkYellow	Rabbit	House	DarkTurquiose_Probe	LightBlue_Probe	Hourglass	Heart	DarkRed	Venn	Gem	LightPurple	Hat	Hat	Heart	Spike	UpArrow	Jellyfish	Stickyhand	Acorn	DarkBlue_Probe	LightGreen_Probe	DarkGray_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	DarkTurquiose_Choice	LightBlue_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	DarkBlue_Choice	LightGreen_Choice	DarkGray_Choice
Bell	Stickyhand_Probe	LightBlue	LightGreen	LightBlue	Nail	Hat	Gem_Probe	DarkRed	Tie	Rabbit	DarkPurple	Lock	Dodecagon	Chevron	LightYellow_Probe	Crowbar	DarkYellow	LightPurple	Puzzle_Probe	Gem	Heart	DarkPurple	DarkGreen	LightGreen	Bell	Heart	Jellyfish
Bell	Stickyhand_Probe	LightBlue	LightGreen	LightBlue	Nail	Hat	Gem_Probe	DarkRed	Tie	Rabbit	DarkPurple	Lock	Dodecagon	Chevron	LightYellow_Probe	Crowbar	DarkYellow	LightPurple	Puzzle_Probe	Gem	Heart	DarkPurple	DarkGreen	LightGreen	Bell	Heart	Jellyfish
Bell	Stickyhand_Probe	LightBlue	LightGreen	LightBlue	Nail	Hat	Gem_Probe	DarkRed	Tie	Rabbit	DarkPurple	Lock	Dodecagon	Chevron	LightYellow_Probe	Crowbar	DarkYellow	LightPurple	Puzzle_Probe	Gem	Heart	DarkPurple	DarkGreen	LightGreen	Bell	Heart	Jellyfish
Bell	Stickyhand_Probe	LightBlue	LightGreen	LightBlue	Nail	Hat	Gem_Probe	DarkRed	Tie	Rabbit	DarkPurple	Lock	Dodecagon	Chevron	LightYellow_Probe	Crowbar	DarkYellow	LightPurple	Puzzle_Probe	Gem	Heart	DarkPurple	DarkGreen	LightGreen	Bell	Heart	Jellyfish
Bell	Stickyhand_Probe	LightBlue	LightGreen	LightBlue	Nail	Hat	Gem_Probe	DarkRed	Tie	Rabbit	DarkPurple	Lock	Dodecagon	Chevron	LightYellow_Probe	Crowbar	DarkYellow	LightPurple	Puzzle_Probe	Gem	Heart	DarkPurple	DarkGreen	LightGreen	Bell	Heart	Jellyfish
