IMA7	IMA8	IMA9	IMA10	IMA11	IMA12
Venn_Probe	Heart_Probe	DarkGray_Probe	Crowbar_Probe	DarkYellow_Probe	Spade_Probe
Venn_Choice	Heart_Choice	DarkGray_Choice	Crowbar_Choice	DarkYellow_Choice	Spade_Choice
Crowbar_Probe	DarkPurple_Probe	Nail_Probe	Venn_Probe	Star_Probe	DarkBlue_Probe
Crowbar_Probe	DarkPurple_Probe	Nail_Probe	Venn_Probe	Star_Probe	DarkBlue_Probe
Crowbar_Choice	DarkPurple_Choice	Nail_Choice	Venn_Choice	Star_Choice	DarkBlue_Choice
DarkGreen_Probe	Sawblade_Probe	Gem_Probe	DarkYellow_Probe	Hat_Probe	Jellyfish_Probe
DarkGreen_Probe	Sawblade_Probe	Gem_Probe	DarkYellow_Probe	Hat_Probe	Jellyfish_Probe
DarkGreen_Choice	Sawblade_Choice	Gem_Choice	DarkYellow_Choice	Hat_Choice	Jellyfish_Choice
Dodecagon_Probe	House_Probe	LightPurple_Probe	Pacman_Probe	DarkRed_Probe	Spike_Probe
Dodecagon_Probe	House_Probe	LightPurple_Probe	Pacman_Probe	DarkRed_Probe	Spike_Probe
Dodecagon_Choice	House_Choice	LightPurple_Choice	Pacman_Choice	DarkRed_Choice	Spike_Choice
Heart_Probe	DarkYellow_Probe	Spade_Probe	Dodecagon_Probe	Chevron_Probe	DarkTurquiose_Probe
Heart_Probe	DarkYellow_Probe	Spade_Probe	Dodecagon_Probe	Chevron_Probe	DarkTurquiose_Probe
Heart_Choice	DarkYellow_Choice	Spade_Choice	Dodecagon_Choice	Chevron_Choice	DarkTurquiose_Choice
LightTurquiose_Probe	Venn_Probe	Stickyhand_Probe	LightTurquiose_Probe	Spike_Probe	House_Probe
LightTurquiose_Probe	Venn_Probe	Stickyhand_Probe	LightTurquiose_Probe	Spike_Probe	House_Probe
LightTurquiose_Choice	Venn_Choice	Stickyhand_Choice	LightTurquiose_Choice	Spike_Choice	House_Choice
UpArrow_Probe	Jellyfish_Probe	LightYellow_Probe	House_Probe	DarkTurquiose_Probe	UpArrow_Probe
UpArrow_Probe	Jellyfish_Probe	LightYellow_Probe	House_Probe	DarkTurquiose_Probe	UpArrow_Probe
UpArrow_Choice	Jellyfish_Choice	LightYellow_Choice	House_Choice	DarkTurquiose_Choice	UpArrow_Choice
LeftArrow_Probe	DarkGreen_Probe	Venn_Probe	Sawblade_Probe	House_Probe	LightBlue_Probe
LeftArrow_Probe	DarkGreen_Probe	Venn_Probe	Sawblade_Probe	House_Probe	LightBlue_Probe
