4	 7	 9	12	14
Background	Dodecagon	Tie	LightRed	Background
Background	Dodecagon	Tie	LightRed	Background
Background	Dodecagon	Tie	LightRed	Background
Background	Dodecagon	Tie	LightRed	Background
Background	Dodecagon_Choice	Tie_Choice	LightRed_Choice	Background
Bell	DarkGray	Background	Bar	Heart
Bell	DarkGray	Background	Bar	Heart
Bell	DarkGray	Background	Bar	Heart
Bell	DarkGray	Background	Bar	Heart
Bell	DarkGray	Background	Bar	Heart
Bell_Choice	DarkGray_Choice	Background	Bar_Choice	Heart_Choice
DarkYellow	Background	Hourglass	Stickyhand	DarkBlue
DarkYellow	Background	Hourglass	Stickyhand	DarkBlue
DarkYellow	Background	Hourglass	Stickyhand	DarkBlue
DarkYellow	Background	Hourglass	Stickyhand	DarkBlue
DarkYellow	Background	Hourglass	Stickyhand	DarkBlue
DarkYellow_Choice	Background	Hourglass_Choice	Stickyhand_Choice	DarkBlue_Choice
Sawblade	Pacman	DarkRed	Background	Hat
Sawblade	Pacman	DarkRed	Background	Hat
Sawblade	Pacman	DarkRed	Background	Hat
Sawblade	Pacman	DarkRed	Background	Hat
Sawblade	Pacman	DarkRed	Background	Hat
Sawblade_Choice	Pacman_Choice	DarkRed_Choice	Background	Hat_Choice
Background	UpArrow	LeftArrow	DarkBlue	Background
Background	UpArrow	LeftArrow	DarkBlue	Background
Background	UpArrow	LeftArrow	DarkBlue	Background
Background	UpArrow	LeftArrow	DarkBlue	Background
Background	UpArrow	LeftArrow	DarkBlue	Background
Background	UpArrow_Choice	LeftArrow_Choice	DarkBlue_Choice	Background
Crowbar	LightGreen	Background	Dodecagon	Gem
Crowbar	LightGreen	Background	Dodecagon	Gem
Crowbar	LightGreen	Background	Dodecagon	Gem
Crowbar	LightGreen	Background	Dodecagon	Gem
Crowbar	LightGreen	Background	Dodecagon	Gem
Crowbar_Choice	LightGreen_Choice	Background	Dodecagon_Choice	Gem_Choice
LightGreen	Background	Puzzle	Heart	LightGreen
