2	 3	 4	 5	 6	 7	 9	11	12	13	14
LeftArrow_Choice	DarkGreen_Choice	Background	Nail_Choice	Star_Choice	DarkBlue_Choice	Puzzle_Choice	Background	LeftArrow_Choice	DarkYellow_Choice	Background
DarkBlue	Background	UpArrow	House	DarkYellow	Background	Ditto	Nail	DarkGray	Background	Hat
DarkBlue	Background	UpArrow	House	DarkYellow	Background	Ditto	Nail	DarkGray	Background	Hat
DarkBlue	Background	UpArrow	House	DarkYellow	Background	Ditto	Nail	DarkGray	Background	Hat
DarkBlue	Background	UpArrow	House	DarkYellow	Background	Ditto	Nail	DarkGray	Background	Hat
DarkBlue	Background	UpArrow	House	DarkYellow	Background	Ditto	Nail	DarkGray	Background	Hat
DarkBlue_Choice	Background	UpArrow_Choice	House_Choice	DarkYellow_Choice	Background	Ditto_Choice	Nail_Choice	DarkGray_Choice	Background	Hat_Choice
Puzzle	Star	DarkPurple	Background	Hat	House	Background	DarkRed	Bar	Tie	DarkYellow
Puzzle	Star	DarkPurple	Background	Hat	House	Background	DarkRed	Bar	Tie	DarkYellow
Puzzle	Star	DarkPurple	Background	Hat	House	Background	DarkRed	Bar	Tie	DarkYellow
Puzzle	Star	DarkPurple	Background	Hat	House	Background	DarkRed	Bar	Tie	DarkYellow
Puzzle	Star	DarkPurple	Background	Hat	House	Background	DarkRed	Bar	Tie	DarkYellow
Puzzle_Choice	Star_Choice	DarkPurple_Choice	Background	Hat_Choice	House_Choice	Background	DarkRed_Choice	Bar_Choice	Tie_Choice	DarkYellow_Choice
Background	Hat	LeftArrow	DarkRed	Background	Bar	DarkPurple	LeftArrow	Background	Nail	LeftArrow
Background	Hat	LeftArrow	DarkRed	Background	Bar	DarkPurple	LeftArrow	Background	Nail	LeftArrow
Background	Hat	LeftArrow	DarkRed	Background	Bar	DarkPurple	LeftArrow	Background	Nail	LeftArrow
Background	Hat	LeftArrow	DarkRed	Background	Bar	DarkPurple	LeftArrow	Background	Nail	LeftArrow
Background	Hat	LeftArrow	DarkRed	Background	Bar	DarkPurple	LeftArrow	Background	Nail	LeftArrow
Background	Hat_Choice	LeftArrow_Choice	DarkRed_Choice	Background	Bar_Choice	DarkPurple_Choice	LeftArrow_Choice	Background	Nail_Choice	LeftArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
