IMA10	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9
DarkPurple_Probe	Spade_Probe	LightBlue_Probe	Diamond_Probe	LightGreen_Probe	Lock_Probe	DarkGray_Probe	UpArrow_Probe	LightGreen_Probe	Hourglass_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkPurple_Choice	Spade_Choice	LightBlue_Choice	Diamond_Choice	LightGreen_Choice	Lock_Choice	DarkGray_Choice	UpArrow_Choice	LightGreen_Choice	Hourglass_Choice
UpArrow_Probe	LightYellow_Probe	Puzzle_Probe	DarkPurple_Probe	Hourglass_Probe	DarkTurquiose_Probe	Bar_Probe	LightPurple_Probe	Spike_Probe	DarkGreen_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow_Choice	LightYellow_Choice	Puzzle_Choice	DarkPurple_Choice	Hourglass_Choice	DarkTurquiose_Choice	Bar_Choice	LightPurple_Choice	Spike_Choice	DarkGreen_Choice
LightYellow_Probe	Bar_Probe	DarkGreen_Probe	Dodecagon_Probe	DarkPurple_Probe	Diamond_Probe	DarkTurquiose_Probe	Hat_Probe	DarkRed_Probe	Hat_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightYellow_Choice	Bar_Choice	DarkGreen_Choice	Dodecagon_Choice	DarkPurple_Choice	Diamond_Choice	DarkTurquiose_Choice	Hat_Choice	DarkRed_Choice	Hat_Choice
Hourglass_Probe	LightBlue_Probe	Nail_Probe	LightTurquiose_Probe	Rabbit_Probe	DarkYellow_Probe	Nail_Probe	LightRed_Probe	Lock_Probe	DarkYellow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hourglass_Choice	LightBlue_Choice	Nail_Choice	LightTurquiose_Choice	Rabbit_Choice	DarkYellow_Choice	Nail_Choice	LightRed_Choice	Lock_Choice	DarkYellow_Choice
LightBlue_Probe	Dodecagon_Probe	DarkTurquiose_Probe	Hat_Probe	LightYellow_Probe	Dodecagon_Probe	LightBlue_Probe	Sawblade_Probe	LightPurple_Probe	Spade_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightBlue_Choice	Dodecagon_Choice	DarkTurquiose_Choice	Hat_Choice	LightYellow_Choice	Dodecagon_Choice	LightBlue_Choice	Sawblade_Choice	LightPurple_Choice	Spade_Choice
Rabbit_Probe	DarkYellow_Probe	Sawblade_Probe	DarkBlue_Probe	UpArrow_Probe	LightBlue_Probe	UpArrow_Probe	LightGreen_Probe	Venn_Probe	DarkGray_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Rabbit_Choice	DarkYellow_Choice	Sawblade_Choice	DarkBlue_Choice	UpArrow_Choice	LightBlue_Choice	UpArrow_Choice	LightGreen_Choice	Venn_Choice	DarkGray_Choice
DarkGray_Probe	Venn_Probe	LightYellow_Probe	Bar_Probe	DarkBlue_Probe	Puzzle_Probe	DarkPurple_Probe	Venn_Probe	LightBlue_Probe	Diamond_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray_Choice	Venn_Choice	LightYellow_Choice	Bar_Choice	DarkBlue_Choice	Puzzle_Choice	DarkPurple_Choice	Venn_Choice	LightBlue_Choice	Diamond_Choice
Sawblade_Probe	LightGreen_Probe	Venn_Probe	DarkTurquiose_Probe	Lock_Probe	LightTurquiose_Probe	Dodecagon_Probe	LightYellow_Probe	Dodecagon_Probe	LightGray_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Sawblade_Choice	LightGreen_Choice	Venn_Choice	DarkTurquiose_Choice	Lock_Choice	LightTurquiose_Choice	Dodecagon_Choice	LightYellow_Choice	Dodecagon_Choice	LightGray_Choice
LightTurquiose_Probe	UpArrow_Probe	LightRed_Probe	Spike_Probe	DarkGreen_Probe	Spike_Probe	LightYellow_Probe	Nail_Probe	LightTurquiose_Probe	Lock_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightTurquiose_Choice	UpArrow_Choice	LightRed_Choice	Spike_Choice	DarkGreen_Choice	Spike_Choice	LightYellow_Choice	Nail_Choice	LightTurquiose_Choice	Lock_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
