IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Stickyhand_Probe	DarkYellow_Probe	Bar_Probe	House_Probe	LightBlue_Probe	Dodecagon_Probe	House_Probe	LightBlue_Probe	Lock_Probe	Jellyfish_Probe	LightRed_Probe	Venn_Probe	Star_Probe	LightBlue_Probe	Hourglass_Probe	LeftArrow_Probe	DarkYellow_Probe	Sawblade_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Stickyhand_Choice	DarkYellow_Choice	Bar_Choice	House_Choice	LightBlue_Choice	Dodecagon_Choice	House_Choice	LightBlue_Choice	Lock_Choice	Jellyfish_Choice	LightRed_Choice	Venn_Choice	Star_Choice	LightBlue_Choice	Hourglass_Choice	LeftArrow_Choice	DarkYellow_Choice	Sawblade_Choice
LightTurquiose_Probe	Acorn_Probe	DarkRed_Probe	Nail_Probe	Spike_Probe	Heart_Probe	LightBlue_Probe	Bell_Probe	LightBlue_Probe	Puzzle_Probe	Lock_Probe	Crowbar_Probe	LightGreen_Probe	House_Probe	LightGray_Probe	Hourglass_Probe	Nail_Probe	Ditto_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightTurquiose_Choice	Acorn_Choice	DarkRed_Choice	Nail_Choice	Spike_Choice	Heart_Choice	LightBlue_Choice	Bell_Choice	LightBlue_Choice	Puzzle_Choice	Lock_Choice	Crowbar_Choice	LightGreen_Choice	House_Choice	LightGray_Choice	Hourglass_Choice	Nail_Choice	Ditto_Choice
Dodecagon_Probe	Bar_Probe	Ditto_Probe	DarkRed_Probe	Ditto_Probe	LightTurquiose_Probe	Dodecagon_Probe	Rabbit_Probe	Star_Probe	LightRed_Probe	Acorn_Probe	DarkGray_Probe	Hat_Probe	Lock_Probe	Acorn_Probe	LightTurquiose_Probe	Tie_Probe	LightTurquiose_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon_Choice	Bar_Choice	Ditto_Choice	DarkRed_Choice	Ditto_Choice	LightTurquiose_Choice	Dodecagon_Choice	Rabbit_Choice	Star_Choice	LightRed_Choice	Acorn_Choice	DarkGray_Choice	Hat_Choice	Lock_Choice	Acorn_Choice	LightTurquiose_Choice	Tie_Choice	LightTurquiose_Choice
Pacman_Probe	DarkGray_Probe	Sawblade_Probe	Crowbar_Probe	LightGray_Probe	Lock_Probe	LeftArrow_Probe	DarkGray_Probe	Spike_Probe	LeftArrow_Probe	LightPurple_Probe	Bar_Probe	Gem_Probe	LightYellow_Probe	Lock_Probe	Ditto_Probe	DarkGreen_Probe	Hat_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Pacman_Choice	DarkGray_Choice	Sawblade_Choice	Crowbar_Choice	LightGray_Choice	Lock_Choice	LeftArrow_Choice	DarkGray_Choice	Spike_Choice	LeftArrow_Choice	LightPurple_Choice	Bar_Choice	Gem_Choice	LightYellow_Choice	Lock_Choice	Ditto_Choice	DarkGreen_Choice	Hat_Choice
DarkYellow_Probe	Gem_Probe	DarkBlue_Probe	Lock_Probe	Dodecagon_Probe	Bell_Probe	DarkPurple_Probe	Acorn_Probe	LightPurple_Probe	Rabbit_Probe	Bar_Probe	Chevron_Probe	LightTurquiose_Probe	Jellyfish_Probe	LightBlue_Probe	Diamond_Probe	Spike_Probe	Star_Probe
