IMA1	IMA2	IMA3	IMA4
Heart_Probe	House_Probe	LightYellow_Probe	Spike_Probe
Heart_Probe	House_Probe	LightYellow_Probe	Spike_Probe
LightGreen_Probe	DarkBlue_Probe	Hat_Probe	Chevron_Probe
LightGreen_Probe	DarkBlue_Probe	Hat_Probe	Chevron_Probe
Dodecagon_Probe	Sawblade_Probe	House_Probe	LightPurple_Probe
Dodecagon_Probe	Sawblade_Probe	House_Probe	LightPurple_Probe
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
Background	Background	Background	Background
