IMA9	IMA10	IMA11	IMA12	IMA13	IMA1	IMA2	IMA3	IMA4	IMA6	IMA7	IMA8
DarkBlue_Choice	Hourglass_Choice	Rabbit_Choice	Jellyfish_Choice	LightRed_Choice	LightBlue_Choice	Hourglass_Choice	Sawblade_Choice	Stickyhand_Choice	Pacman_Choice	LightYellow_Choice	LeftArrow_Choice
Dodecagon_Probe	Tie_Probe	LightBlue_Probe	Hat_Probe	Tie_Probe	Spade_Probe	Gem_Probe	LightGray_Probe	Venn_Probe	DarkBlue_Probe	Jellyfish_Probe	DarkPurple_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon_Choice	Tie_Choice	LightBlue_Choice	Hat_Choice	Tie_Choice	Spade_Choice	Gem_Choice	LightGray_Choice	Venn_Choice	DarkBlue_Choice	Jellyfish_Choice	DarkPurple_Choice
Gem_Probe	LightPurple_Probe	Stickyhand_Probe	LightYellow_Probe	Hourglass_Probe	LeftArrow_Probe	LightYellow_Probe	Gem_Probe	LightGreen_Probe	Dodecagon_Probe	Diamond_Probe	Spike_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Gem_Choice	LightPurple_Choice	Stickyhand_Choice	LightYellow_Choice	Hourglass_Choice	LeftArrow_Choice	LightYellow_Choice	Gem_Choice	LightGreen_Choice	Dodecagon_Choice	Diamond_Choice	Spike_Choice
LightYellow_Probe	UpArrow_Probe	Hourglass_Probe	Tie_Probe	DarkGray_Probe	LightRed_Probe	UpArrow_Probe	Dodecagon_Probe	Pacman_Probe	Chevron_Probe	LightTurquiose_Probe	Acorn_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightYellow_Choice	UpArrow_Choice	Hourglass_Choice	Tie_Choice	DarkGray_Choice	LightRed_Choice	UpArrow_Choice	Dodecagon_Choice	Pacman_Choice	Chevron_Choice	LightTurquiose_Choice	Acorn_Choice
Venn_Probe	Stickyhand_Probe	DarkYellow_Probe	Rabbit_Probe	Jellyfish_Probe	Dodecagon_Probe	Tie_Probe	DarkYellow_Probe	Hourglass_Probe	LightGreen_Probe	Crowbar_Probe	LightGray_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Venn_Choice	Stickyhand_Choice	DarkYellow_Choice	Rabbit_Choice	Jellyfish_Choice	Dodecagon_Choice	Tie_Choice	DarkYellow_Choice	Hourglass_Choice	LightGreen_Choice	Crowbar_Choice	LightGray_Choice
House_Probe	LightGreen_Probe	Ditto_Probe	DarkTurquiose_Probe	Puzzle_Probe	House_Probe	LightTurquiose_Probe	LeftArrow_Probe	DarkRed_Probe	Spike_Probe	Spade_Probe	Rabbit_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
House_Choice	LightGreen_Choice	Ditto_Choice	DarkTurquiose_Choice	Puzzle_Choice	House_Choice	LightTurquiose_Choice	LeftArrow_Choice	DarkRed_Choice	Spike_Choice	Spade_Choice	Rabbit_Choice
