IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA22	IMA23	IMA24	IMA25	IMA26	IMA27	IMA28	IMA29	IMA30	IMA3	IMA31	IMA32	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Background	Background	Background	Background	Background	DarkGray_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Star_Choice	Background	Background	Background	Gem_Choice	Background	Background	Star_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spade_Probe	Jellyfish_Probe	DarkTurquiose	Gem	DarkTurquiose_Probe	Nail	Nail	Nail	Star	DarkTurquiose	Gem	Ditto_Probe	LightGray	Diamond_Probe	Spade	Star	LightGray	Pacman	DarkPurple_Probe	Venn	UpArrow	LightTurquiose	Chevron	DarkBlue_Probe	Dodecagon	Diamond	Stickyhand	LightYellow	Bell	LightRed	Nail_Probe
Spade_Probe	Jellyfish_Probe	DarkTurquiose	Gem	DarkTurquiose_Probe	Nail	Nail	Nail	Star	DarkTurquiose	Gem	Ditto_Probe	LightGray	Diamond_Probe	Spade	Star	LightGray	Pacman	DarkPurple_Probe	Venn	UpArrow	LightTurquiose	Chevron	DarkBlue_Probe	Dodecagon	Diamond	Stickyhand	LightYellow	Bell	LightRed	Nail_Probe
Spade_Probe	Jellyfish_Probe	DarkTurquiose	Gem	DarkTurquiose_Probe	Nail	Nail	Nail	Star	DarkTurquiose	Gem	Ditto_Probe	LightGray	Diamond_Probe	Spade	Star	LightGray	Pacman	DarkPurple_Probe	Venn	UpArrow	LightTurquiose	Chevron	DarkBlue_Probe	Dodecagon	Diamond	Stickyhand	LightYellow	Bell	LightRed	Nail_Probe
Spade_Probe	Jellyfish_Probe	DarkTurquiose	Gem	DarkTurquiose_Probe	Nail	Nail	Nail	Star	DarkTurquiose	Gem	Ditto_Probe	LightGray	Diamond_Probe	Spade	Star	LightGray	Pacman	DarkPurple_Probe	Venn	UpArrow	LightTurquiose	Chevron	DarkBlue_Probe	Dodecagon	Diamond	Stickyhand	LightYellow	Bell	LightRed	Nail_Probe
Spade_Probe	Jellyfish_Probe	DarkTurquiose	Gem	DarkTurquiose_Probe	Nail	Nail	Nail	Star	DarkTurquiose	Gem	Ditto_Probe	LightGray	Diamond_Probe	Spade	Star	LightGray	Pacman	DarkPurple_Probe	Venn	UpArrow	LightTurquiose	Chevron	DarkBlue_Probe	Dodecagon	Diamond	Stickyhand	LightYellow	Bell	LightRed	Nail_Probe
Spade_Probe	Jellyfish_Probe	DarkTurquiose	Gem	DarkTurquiose_Probe	Nail	Nail	Nail	Star	DarkTurquiose	Gem	Ditto_Probe	LightGray	Diamond_Probe	Spade	Star	LightGray	Pacman	DarkPurple_Probe	Venn	UpArrow	LightTurquiose	Chevron	DarkBlue_Probe	Dodecagon	Diamond	Stickyhand	LightYellow	Bell	LightRed	Nail_Probe
Spade_Probe	Jellyfish_Probe	DarkTurquiose	Gem	DarkTurquiose_Probe	Nail	Nail	Nail	Star	DarkTurquiose	Gem	Ditto_Probe	LightGray	Diamond_Probe	Spade	Star	LightGray	Pacman	DarkPurple_Probe	Venn	UpArrow	LightTurquiose	Chevron	DarkBlue_Probe	Dodecagon	Diamond	Stickyhand	LightYellow	Bell	LightRed	Nail_Probe
Spade_Probe	Jellyfish_Probe	DarkTurquiose	Gem	DarkTurquiose_Probe	Nail	Nail	Nail	Star	DarkTurquiose	Gem	Ditto_Probe	LightGray	Diamond_Probe	Spade	Star	LightGray	Pacman	DarkPurple_Probe	Venn	UpArrow	LightTurquiose	Chevron	DarkBlue_Probe	Dodecagon	Diamond	Stickyhand	LightYellow	Bell	LightRed	Nail_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
