IMA10	IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA1	IMA20	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9
House	DarkGreen_Probe	Diamond_Probe	Lock_Probe	Stickyhand_Probe	LightGreen	Ditto_Probe	LightBlue	Spike	Puzzle	Lock_Probe	Heart_Probe	Crowbar	DarkTurquiose	Tie_Probe	DarkGreen	Hourglass_Probe	Spade_Probe	Jellyfish_Probe	DarkPurple
Spike_Probe	LeftArrow	DarkYellow	Gem_Probe	LightRed	Spade	Nail	Tie	DarkGreen	Jellyfish	Bell	DarkGreen	LightGray_Probe	UpArrow	Spade_Probe	Jellyfish_Probe	LightGreen	Heart_Probe	DarkGray_Probe	Sawblade_Probe
Spike_Probe	LeftArrow	DarkYellow	Gem_Probe	LightRed	Spade	Nail	Tie	DarkGreen	Jellyfish	Bell	DarkGreen	LightGray_Probe	UpArrow	Spade_Probe	Jellyfish_Probe	LightGreen	Heart_Probe	DarkGray_Probe	Sawblade_Probe
Spike_Probe	LeftArrow	DarkYellow	Gem_Probe	LightRed	Spade	Nail	Tie	DarkGreen	Jellyfish	Bell	DarkGreen	LightGray_Probe	UpArrow	Spade_Probe	Jellyfish_Probe	LightGreen	Heart_Probe	DarkGray_Probe	Sawblade_Probe
LightGreen	Diamond	Ditto_Probe	DarkBlue_Probe	Puzzle_Probe	LeftArrow	LightGray_Probe	Rabbit_Probe	Gem_Probe	DarkTurquiose	DarkTurquiose	Spade	Bar	Pacman	LightPurple	Spike	Stickyhand	LightPurple	Venn	Star
LightGreen	Diamond	Ditto_Probe	DarkBlue_Probe	Puzzle_Probe	LeftArrow	LightGray_Probe	Rabbit_Probe	Gem_Probe	DarkTurquiose	DarkTurquiose	Spade	Bar	Pacman	LightPurple	Spike	Stickyhand	LightPurple	Venn	Star
LightGreen	Diamond	Ditto_Probe	DarkBlue_Probe	Puzzle_Probe	LeftArrow	LightGray_Probe	Rabbit_Probe	Gem_Probe	DarkTurquiose	DarkTurquiose	Spade	Bar	Pacman	LightPurple	Spike	Stickyhand	LightPurple	Venn	Star
Pacman	LightGreen_Probe	Spade	Venn	Tie_Probe	DarkTurquiose_Probe	LeftArrow_Probe	LightYellow_Probe	Sawblade_Probe	Diamond	Nail	Ditto	Stickyhand	DarkBlue_Probe	Acorn_Probe	LightPurple_Probe	Spike	Puzzle_Probe	Pacman_Probe	LightBlue_Probe
Pacman	LightGreen_Probe	Spade	Venn	Tie_Probe	DarkTurquiose_Probe	LeftArrow_Probe	LightYellow_Probe	Sawblade_Probe	Diamond	Nail	Ditto	Stickyhand	DarkBlue_Probe	Acorn_Probe	LightPurple_Probe	Spike	Puzzle_Probe	Pacman_Probe	LightBlue_Probe
Pacman	LightGreen_Probe	Spade	Venn	Tie_Probe	DarkTurquiose_Probe	LeftArrow_Probe	LightYellow_Probe	Sawblade_Probe	Diamond	Nail	Ditto	Stickyhand	DarkBlue_Probe	Acorn_Probe	LightPurple_Probe	Spike	Puzzle_Probe	Pacman_Probe	LightBlue_Probe
Nail_Probe	Bell_Probe	DarkGray_Probe	Pacman_Probe	LightGray	UpArrow_Probe	Rabbit	Gem_Probe	LightGray_Probe	LeftArrow	Stickyhand_Probe	LightTurquiose	DarkRed	Spade_Probe	Nail_Probe	Tie_Probe	LightTurquiose	Stickyhand_Probe	LightGray_Probe	Venn
