IMA12	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10	IMA11
Stickyhand_Choice	Rabbit_Choice	LeftArrow_Choice	LightTurquiose_Choice	House_Choice	DarkPurple_Choice	Hat_Choice	Lock_Choice	Stickyhand_Choice	LightRed_Choice
Hat_Probe	Stickyhand_Probe	DarkRed_Probe	UpArrow_Probe	Bar_Probe	Tie_Probe	DarkBlue_Probe	Star_Probe	LightRed_Probe	Rabbit_Probe
Hat_Probe	Stickyhand_Probe	DarkRed_Probe	UpArrow_Probe	Bar_Probe	Tie_Probe	DarkBlue_Probe	Star_Probe	LightRed_Probe	Rabbit_Probe
Hat_Probe	Stickyhand_Probe	DarkRed_Probe	UpArrow_Probe	Bar_Probe	Tie_Probe	DarkBlue_Probe	Star_Probe	LightRed_Probe	Rabbit_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hat_Choice	Stickyhand_Choice	DarkRed_Choice	UpArrow_Choice	Bar_Choice	Tie_Choice	DarkBlue_Choice	Star_Choice	LightRed_Choice	Rabbit_Choice
LightYellow_Probe	DarkRed_Probe	Sawblade_Probe	House_Probe	DarkRed_Probe	Spike_Probe	Gem_Probe	DarkGray_Probe	Hat_Probe	Pacman_Probe
LightYellow_Probe	DarkRed_Probe	Sawblade_Probe	House_Probe	DarkRed_Probe	Spike_Probe	Gem_Probe	DarkGray_Probe	Hat_Probe	Pacman_Probe
LightYellow_Probe	DarkRed_Probe	Sawblade_Probe	House_Probe	DarkRed_Probe	Spike_Probe	Gem_Probe	DarkGray_Probe	Hat_Probe	Pacman_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightYellow_Choice	DarkRed_Choice	Sawblade_Choice	House_Choice	DarkRed_Choice	Spike_Choice	Gem_Choice	DarkGray_Choice	Hat_Choice	Pacman_Choice
Pacman_Probe	Hourglass_Probe	Crowbar_Probe	DarkPurple_Probe	Crowbar_Probe	LightRed_Probe	Sawblade_Probe	Sawblade_Probe	Star_Probe	DarkYellow_Probe
Pacman_Probe	Hourglass_Probe	Crowbar_Probe	DarkPurple_Probe	Crowbar_Probe	LightRed_Probe	Sawblade_Probe	Sawblade_Probe	Star_Probe	DarkYellow_Probe
Pacman_Probe	Hourglass_Probe	Crowbar_Probe	DarkPurple_Probe	Crowbar_Probe	LightRed_Probe	Sawblade_Probe	Sawblade_Probe	Star_Probe	DarkYellow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Pacman_Choice	Hourglass_Choice	Crowbar_Choice	DarkPurple_Choice	Crowbar_Choice	LightRed_Choice	Sawblade_Choice	Sawblade_Choice	Star_Choice	DarkYellow_Choice
Rabbit_Probe	Tie_Probe	DarkGreen_Probe	Bar_Probe	UpArrow_Probe	Ditto_Probe	DarkTurquiose_Probe	Bell_Probe	DarkRed_Probe	Sawblade_Probe
Rabbit_Probe	Tie_Probe	DarkGreen_Probe	Bar_Probe	UpArrow_Probe	Ditto_Probe	DarkTurquiose_Probe	Bell_Probe	DarkRed_Probe	Sawblade_Probe
Rabbit_Probe	Tie_Probe	DarkGreen_Probe	Bar_Probe	UpArrow_Probe	Ditto_Probe	DarkTurquiose_Probe	Bell_Probe	DarkRed_Probe	Sawblade_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Rabbit_Choice	Tie_Choice	DarkGreen_Choice	Bar_Choice	UpArrow_Choice	Ditto_Choice	DarkTurquiose_Choice	Bell_Choice	DarkRed_Choice	Sawblade_Choice
DarkGray_Probe	LightBlue_Probe	Lock_Probe	Gem_Probe	LightBlue_Probe	Diamond_Probe	Pacman_Probe	DarkYellow_Probe	Dodecagon_Probe	Heart_Probe
DarkGray_Probe	LightBlue_Probe	Lock_Probe	Gem_Probe	LightBlue_Probe	Diamond_Probe	Pacman_Probe	DarkYellow_Probe	Dodecagon_Probe	Heart_Probe
DarkGray_Probe	LightBlue_Probe	Lock_Probe	Gem_Probe	LightBlue_Probe	Diamond_Probe	Pacman_Probe	DarkYellow_Probe	Dodecagon_Probe	Heart_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray_Choice	LightBlue_Choice	Lock_Choice	Gem_Choice	LightBlue_Choice	Diamond_Choice	Pacman_Choice	DarkYellow_Choice	Dodecagon_Choice	Heart_Choice
House_Probe	Dodecagon_Probe	Heart_Probe	DarkYellow_Probe	Chevron_Probe	DarkGray_Probe	Diamond_Probe	Venn_Probe	Pacman_Probe	DarkPurple_Probe
House_Probe	Dodecagon_Probe	Heart_Probe	DarkYellow_Probe	Chevron_Probe	DarkGray_Probe	Diamond_Probe	Venn_Probe	Pacman_Probe	DarkPurple_Probe
House_Probe	Dodecagon_Probe	Heart_Probe	DarkYellow_Probe	Chevron_Probe	DarkGray_Probe	Diamond_Probe	Venn_Probe	Pacman_Probe	DarkPurple_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
House_Choice	Dodecagon_Choice	Heart_Choice	DarkYellow_Choice	Chevron_Choice	DarkGray_Choice	Diamond_Choice	Venn_Choice	Pacman_Choice	DarkPurple_Choice
Bar_Probe	Star_Probe	LightPurple_Probe	Nail_Probe	Rabbit_Probe	LeftArrow_Probe	LightBlue_Probe	Pacman_Probe	DarkGray_Probe	Venn_Probe
Bar_Probe	Star_Probe	LightPurple_Probe	Nail_Probe	Rabbit_Probe	LeftArrow_Probe	LightBlue_Probe	Pacman_Probe	DarkGray_Probe	Venn_Probe
Bar_Probe	Star_Probe	LightPurple_Probe	Nail_Probe	Rabbit_Probe	LeftArrow_Probe	LightBlue_Probe	Pacman_Probe	DarkGray_Probe	Venn_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar_Choice	Star_Choice	LightPurple_Choice	Nail_Choice	Rabbit_Choice	LeftArrow_Choice	LightBlue_Choice	Pacman_Choice	DarkGray_Choice	Venn_Choice
LightBlue_Probe	LightGreen_Probe	Venn_Probe	Pacman_Probe	DarkGreen_Probe	Bar_Probe	Star_Probe	LightPurple_Probe	Puzzle_Probe	Chevron_Probe
LightBlue_Probe	LightGreen_Probe	Venn_Probe	Pacman_Probe	DarkGreen_Probe	Bar_Probe	Star_Probe	LightPurple_Probe	Puzzle_Probe	Chevron_Probe
LightBlue_Probe	LightGreen_Probe	Venn_Probe	Pacman_Probe	DarkGreen_Probe	Bar_Probe	Star_Probe	LightPurple_Probe	Puzzle_Probe	Chevron_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightBlue_Choice	LightGreen_Choice	Venn_Choice	Pacman_Choice	DarkGreen_Choice	Bar_Choice	Star_Choice	LightPurple_Choice	Puzzle_Choice	Chevron_Choice
LeftArrow_Probe	Spade_Probe	Jellyfish_Probe	DarkRed_Probe	Acorn_Probe	LightTurquiose_Probe	UpArrow_Probe	Bar_Probe	Heart_Probe	DarkBlue_Probe
LeftArrow_Probe	Spade_Probe	Jellyfish_Probe	DarkRed_Probe	Acorn_Probe	LightTurquiose_Probe	UpArrow_Probe	Bar_Probe	Heart_Probe	DarkBlue_Probe
LeftArrow_Probe	Spade_Probe	Jellyfish_Probe	DarkRed_Probe	Acorn_Probe	LightTurquiose_Probe	UpArrow_Probe	Bar_Probe	Heart_Probe	DarkBlue_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LeftArrow_Choice	Spade_Choice	Jellyfish_Choice	DarkRed_Choice	Acorn_Choice	LightTurquiose_Choice	UpArrow_Choice	Bar_Choice	Heart_Choice	DarkBlue_Choice
UpArrow_Probe	Acorn_Probe	LightRed_Probe	Lock_Probe	Puzzle_Probe	Pacman_Probe	LightRed_Probe	Gem_Probe	DarkPurple_Probe	Hat_Probe
UpArrow_Probe	Acorn_Probe	LightRed_Probe	Lock_Probe	Puzzle_Probe	Pacman_Probe	LightRed_Probe	Gem_Probe	DarkPurple_Probe	Hat_Probe
UpArrow_Probe	Acorn_Probe	LightRed_Probe	Lock_Probe	Puzzle_Probe	Pacman_Probe	LightRed_Probe	Gem_Probe	DarkPurple_Probe	Hat_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow_Choice	Acorn_Choice	LightRed_Choice	Lock_Choice	Puzzle_Choice	Pacman_Choice	LightRed_Choice	Gem_Choice	DarkPurple_Choice	Hat_Choice
LightGreen_Probe	DarkGray_Probe	Puzzle_Probe	Heart_Probe	DarkYellow_Probe	Puzzle_Probe	Ditto_Probe	LightRed_Probe	Rabbit_Probe	Gem_Probe
LightGreen_Probe	DarkGray_Probe	Puzzle_Probe	Heart_Probe	DarkYellow_Probe	Puzzle_Probe	Ditto_Probe	LightRed_Probe	Rabbit_Probe	Gem_Probe
LightGreen_Probe	DarkGray_Probe	Puzzle_Probe	Heart_Probe	DarkYellow_Probe	Puzzle_Probe	Ditto_Probe	LightRed_Probe	Rabbit_Probe	Gem_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGreen_Choice	DarkGray_Choice	Puzzle_Choice	Heart_Choice	DarkYellow_Choice	Puzzle_Choice	Ditto_Choice	LightRed_Choice	Rabbit_Choice	Gem_Choice
Ditto_Probe	Puzzle_Probe	Tie_Probe	LightPurple_Probe	Pacman_Probe	DarkRed_Probe	Puzzle_Probe	Diamond_Probe	Acorn_Probe	LightBlue_Probe
Ditto_Probe	Puzzle_Probe	Tie_Probe	LightPurple_Probe	Pacman_Probe	DarkRed_Probe	Puzzle_Probe	Diamond_Probe	Acorn_Probe	LightBlue_Probe
Ditto_Probe	Puzzle_Probe	Tie_Probe	LightPurple_Probe	Pacman_Probe	DarkRed_Probe	Puzzle_Probe	Diamond_Probe	Acorn_Probe	LightBlue_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Ditto_Choice	Puzzle_Choice	Tie_Choice	LightPurple_Choice	Pacman_Choice	DarkRed_Choice	Puzzle_Choice	Diamond_Choice	Acorn_Choice	LightBlue_Choice
Venn_Probe	Chevron_Probe	DarkYellow_Probe	Spade_Probe	Spade_Probe	Crowbar_Probe	LightYellow_Probe	Ditto_Probe	DarkGreen_Probe	Nail_Probe
Venn_Probe	Chevron_Probe	DarkYellow_Probe	Spade_Probe	Spade_Probe	Crowbar_Probe	LightYellow_Probe	Ditto_Probe	DarkGreen_Probe	Nail_Probe
Venn_Probe	Chevron_Probe	DarkYellow_Probe	Spade_Probe	Spade_Probe	Crowbar_Probe	LightYellow_Probe	Ditto_Probe	DarkGreen_Probe	Nail_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Venn_Choice	Chevron_Choice	DarkYellow_Choice	Spade_Choice	Spade_Choice	Crowbar_Choice	LightYellow_Choice	Ditto_Choice	DarkGreen_Choice	Nail_Choice
DarkRed_Probe	LightRed_Probe	Rabbit_Probe	Acorn_Probe	LightPurple_Probe	Hourglass_Probe	House_Probe	LightGray_Probe	Hourglass_Probe	Crowbar_Probe
DarkRed_Probe	LightRed_Probe	Rabbit_Probe	Acorn_Probe	LightPurple_Probe	Hourglass_Probe	House_Probe	LightGray_Probe	Hourglass_Probe	Crowbar_Probe
DarkRed_Probe	LightRed_Probe	Rabbit_Probe	Acorn_Probe	LightPurple_Probe	Hourglass_Probe	House_Probe	LightGray_Probe	Hourglass_Probe	Crowbar_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkRed_Choice	LightRed_Choice	Rabbit_Choice	Acorn_Choice	LightPurple_Choice	Hourglass_Choice	House_Choice	LightGray_Choice	Hourglass_Choice	Crowbar_Choice
Tie_Probe	Lock_Probe	Stickyhand_Probe	LightYellow_Probe	Jellyfish_Probe	DarkBlue_Probe	Bar_Probe	Dodecagon_Probe	Bell_Probe	LightPurple_Probe
Tie_Probe	Lock_Probe	Stickyhand_Probe	LightYellow_Probe	Jellyfish_Probe	DarkBlue_Probe	Bar_Probe	Dodecagon_Probe	Bell_Probe	LightPurple_Probe
Tie_Probe	Lock_Probe	Stickyhand_Probe	LightYellow_Probe	Jellyfish_Probe	DarkBlue_Probe	Bar_Probe	Dodecagon_Probe	Bell_Probe	LightPurple_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Tie_Choice	Lock_Choice	Stickyhand_Choice	LightYellow_Choice	Jellyfish_Choice	DarkBlue_Choice	Bar_Choice	Dodecagon_Choice	Bell_Choice	LightPurple_Choice
Diamond_Probe	Heart_Probe	LightGreen_Probe	Spike_Probe	Venn_Probe	Jellyfish_Probe	DarkPurple_Probe	Tie_Probe	LightPurple_Probe	Lock_Probe
Diamond_Probe	Heart_Probe	LightGreen_Probe	Spike_Probe	Venn_Probe	Jellyfish_Probe	DarkPurple_Probe	Tie_Probe	LightPurple_Probe	Lock_Probe
Diamond_Probe	Heart_Probe	LightGreen_Probe	Spike_Probe	Venn_Probe	Jellyfish_Probe	DarkPurple_Probe	Tie_Probe	LightPurple_Probe	Lock_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Diamond_Choice	Heart_Choice	LightGreen_Choice	Spike_Choice	Venn_Choice	Jellyfish_Choice	DarkPurple_Choice	Tie_Choice	LightPurple_Choice	Lock_Choice
LightTurquiose_Probe	DarkGreen_Probe	UpArrow_Probe	Stickyhand_Probe	DarkTurquiose_Probe	Spade_Probe	Chevron_Probe	DarkPurple_Probe	Spade_Probe	LeftArrow_Probe
LightTurquiose_Probe	DarkGreen_Probe	UpArrow_Probe	Stickyhand_Probe	DarkTurquiose_Probe	Spade_Probe	Chevron_Probe	DarkPurple_Probe	Spade_Probe	LeftArrow_Probe
LightTurquiose_Probe	DarkGreen_Probe	UpArrow_Probe	Stickyhand_Probe	DarkTurquiose_Probe	Spade_Probe	Chevron_Probe	DarkPurple_Probe	Spade_Probe	LeftArrow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightTurquiose_Choice	DarkGreen_Choice	UpArrow_Choice	Stickyhand_Choice	DarkTurquiose_Choice	Spade_Choice	Chevron_Choice	DarkPurple_Choice	Spade_Choice	LeftArrow_Choice
Jellyfish_Probe	Nail_Probe	Gem_Probe	DarkTurquiose_Probe	LeftArrow_Probe	LightGray_Probe	Dodecagon_Probe	Spade_Probe	Gem_Probe	DarkTurquiose_Probe
Jellyfish_Probe	Nail_Probe	Gem_Probe	DarkTurquiose_Probe	LeftArrow_Probe	LightGray_Probe	Dodecagon_Probe	Spade_Probe	Gem_Probe	DarkTurquiose_Probe
Jellyfish_Probe	Nail_Probe	Gem_Probe	DarkTurquiose_Probe	LeftArrow_Probe	LightGray_Probe	Dodecagon_Probe	Spade_Probe	Gem_Probe	DarkTurquiose_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Jellyfish_Choice	Nail_Choice	Gem_Choice	DarkTurquiose_Choice	LeftArrow_Choice	LightGray_Choice	Dodecagon_Choice	Spade_Choice	Gem_Choice	DarkTurquiose_Choice
Spike_Probe	Crowbar_Probe	LightYellow_Probe	Venn_Probe	Spike_Probe	Star_Probe	LightGreen_Probe	LeftArrow_Probe	DarkYellow_Probe	Puzzle_Probe
Spike_Probe	Crowbar_Probe	LightYellow_Probe	Venn_Probe	Spike_Probe	Star_Probe	LightGreen_Probe	LeftArrow_Probe	DarkYellow_Probe	Puzzle_Probe
Spike_Probe	Crowbar_Probe	LightYellow_Probe	Venn_Probe	Spike_Probe	Star_Probe	LightGreen_Probe	LeftArrow_Probe	DarkYellow_Probe	Puzzle_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spike_Choice	Crowbar_Choice	LightYellow_Choice	Venn_Choice	Spike_Choice	Star_Choice	LightGreen_Choice	LeftArrow_Choice	DarkYellow_Choice	Puzzle_Choice
DarkGreen_Probe	DarkTurquiose_Probe	Spike_Probe	Ditto_Probe	DarkPurple_Probe	Rabbit_Probe	Heart_Probe	DarkGreen_Probe	Diamond_Probe	Jellyfish_Probe
DarkGreen_Probe	DarkTurquiose_Probe	Spike_Probe	Ditto_Probe	DarkPurple_Probe	Rabbit_Probe	Heart_Probe	DarkGreen_Probe	Diamond_Probe	Jellyfish_Probe
DarkGreen_Probe	DarkTurquiose_Probe	Spike_Probe	Ditto_Probe	DarkPurple_Probe	Rabbit_Probe	Heart_Probe	DarkGreen_Probe	Diamond_Probe	Jellyfish_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGreen_Choice	DarkTurquiose_Choice	Spike_Choice	Ditto_Choice	DarkPurple_Choice	Rabbit_Choice	Heart_Choice	DarkGreen_Choice	Diamond_Choice	Jellyfish_Choice
Star_Probe	Spike_Probe	Ditto_Probe	DarkGray_Probe	Tie_Probe	LightBlue_Probe	Nail_Probe	Puzzle_Probe	Jellyfish_Probe	LightYellow_Probe
Star_Probe	Spike_Probe	Ditto_Probe	DarkGray_Probe	Tie_Probe	LightBlue_Probe	Nail_Probe	Puzzle_Probe	Jellyfish_Probe	LightYellow_Probe
Star_Probe	Spike_Probe	Ditto_Probe	DarkGray_Probe	Tie_Probe	LightBlue_Probe	Nail_Probe	Puzzle_Probe	Jellyfish_Probe	LightYellow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Star_Choice	Spike_Choice	Ditto_Choice	DarkGray_Choice	Tie_Choice	LightBlue_Choice	Nail_Choice	Puzzle_Choice	Jellyfish_Choice	LightYellow_Choice
Lock_Probe	Bell_Probe	DarkTurquiose_Probe	Hourglass_Probe	Nail_Probe	House_Probe	DarkRed_Probe	Crowbar_Probe	LightBlue_Probe	Hourglass_Probe
Lock_Probe	Bell_Probe	DarkTurquiose_Probe	Hourglass_Probe	Nail_Probe	House_Probe	DarkRed_Probe	Crowbar_Probe	LightBlue_Probe	Hourglass_Probe
Lock_Probe	Bell_Probe	DarkTurquiose_Probe	Hourglass_Probe	Nail_Probe	House_Probe	DarkRed_Probe	Crowbar_Probe	LightBlue_Probe	Hourglass_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Lock_Choice	Bell_Choice	DarkTurquiose_Choice	Hourglass_Choice	Nail_Choice	House_Choice	DarkRed_Choice	Crowbar_Choice	LightBlue_Choice	Hourglass_Choice
DarkPurple_Probe	LightGray_Probe	Hourglass_Probe	Jellyfish_Probe	DarkGray_Probe	Nail_Probe	Acorn_Probe	LightBlue_Probe	Venn_Probe	Stickyhand_Probe
DarkPurple_Probe	LightGray_Probe	Hourglass_Probe	Jellyfish_Probe	DarkGray_Probe	Nail_Probe	Acorn_Probe	LightBlue_Probe	Venn_Probe	Stickyhand_Probe
DarkPurple_Probe	LightGray_Probe	Hourglass_Probe	Jellyfish_Probe	DarkGray_Probe	Nail_Probe	Acorn_Probe	LightBlue_Probe	Venn_Probe	Stickyhand_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkPurple_Choice	LightGray_Choice	Hourglass_Choice	Jellyfish_Choice	DarkGray_Choice	Nail_Choice	Acorn_Choice	LightBlue_Choice	Venn_Choice	Stickyhand_Choice
Chevron_Probe	Hat_Probe	House_Probe	LightGray_Probe	Ditto_Probe	DarkYellow_Probe	Spade_Probe	Hat_Probe	Chevron_Probe	LightTurquiose_Probe
Chevron_Probe	Hat_Probe	House_Probe	LightGray_Probe	Ditto_Probe	DarkYellow_Probe	Spade_Probe	Hat_Probe	Chevron_Probe	LightTurquiose_Probe
Chevron_Probe	Hat_Probe	House_Probe	LightGray_Probe	Ditto_Probe	DarkYellow_Probe	Spade_Probe	Hat_Probe	Chevron_Probe	LightTurquiose_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Chevron_Choice	Hat_Choice	House_Choice	LightGray_Choice	Ditto_Choice	DarkYellow_Choice	Spade_Choice	Hat_Choice	Chevron_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
