IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA22	IMA23	IMA24	IMA25	IMA26	IMA27	IMA28	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Tie	DarkGreen	UpArrow	Tie	DarkGray	Puzzle	Bell	DarkGreen	DarkGreen	Spike_Probe	DarkTurquiose_Probe	Gem	Crowbar	DarkPurple_Probe	Hourglass	Jellyfish	DarkBlue	Diamond	Ditto	Lock	Star	LightPurple	Spade	Heart	LightPurple	Sawblade	Star_Probe
Tie	DarkGreen	UpArrow	Tie	DarkGray	Puzzle	Bell	DarkGreen	DarkGreen	Spike_Probe	DarkTurquiose_Probe	Gem	Crowbar	DarkPurple_Probe	Hourglass	Jellyfish	DarkBlue	Diamond	Ditto	Lock	Star	LightPurple	Spade	Heart	LightPurple	Sawblade	Star_Probe
Tie	DarkGreen	UpArrow	Tie	DarkGray	Puzzle	Bell	DarkGreen	DarkGreen	Spike_Probe	DarkTurquiose_Probe	Gem	Crowbar	DarkPurple_Probe	Hourglass	Jellyfish	DarkBlue	Diamond	Ditto	Lock	Star	LightPurple	Spade	Heart	LightPurple	Sawblade	Star_Probe
Tie	DarkGreen	UpArrow	Tie	DarkGray	Puzzle	Bell	DarkGreen	DarkGreen	Spike_Probe	DarkTurquiose_Probe	Gem	Crowbar	DarkPurple_Probe	Hourglass	Jellyfish	DarkBlue	Diamond	Ditto	Lock	Star	LightPurple	Spade	Heart	LightPurple	Sawblade	Star_Probe
Tie	DarkGreen	UpArrow	Tie	DarkGray	Puzzle	Bell	DarkGreen	DarkGreen	Spike_Probe	DarkTurquiose_Probe	Gem	Crowbar	DarkPurple_Probe	Hourglass	Jellyfish	DarkBlue	Diamond	Ditto	Lock	Star	LightPurple	Spade	Heart	LightPurple	Sawblade	Star_Probe
Tie	DarkGreen	UpArrow	Tie	DarkGray	Puzzle	Bell	DarkGreen	DarkGreen	Spike_Probe	DarkTurquiose_Probe	Gem	Crowbar	DarkPurple_Probe	Hourglass	Jellyfish	DarkBlue	Diamond	Ditto	Lock	Star	LightPurple	Spade	Heart	LightPurple	Sawblade	Star_Probe
Tie	DarkGreen	UpArrow	Tie	DarkGray	Puzzle	Bell	DarkGreen	DarkGreen	Spike_Probe	DarkTurquiose_Probe	Gem	Crowbar	DarkPurple_Probe	Hourglass	Jellyfish	DarkBlue	Diamond	Ditto	Lock	Star	LightPurple	Spade	Heart	LightPurple	Sawblade	Star_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Spike_Choice	DarkTurquiose_Choice	Background	Background	DarkPurple_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Star_Choice
LightGreen	Heart	DarkPurple_Probe	UpArrow	UpArrow	Stickyhand	LightPurple	Chevron_Probe	Jellyfish	LightTurquiose	Hourglass	Bar	Rabbit	Lock	Star	DarkRed	Tie	LightRed	Sawblade_Probe	Acorn_Probe	LightYellow	House	DarkGray	Sawblade	Hat_Probe	Stickyhand_Probe	LightYellow
LightGreen	Heart	DarkPurple_Probe	UpArrow	UpArrow	Stickyhand	LightPurple	Chevron_Probe	Jellyfish	LightTurquiose	Hourglass	Bar	Rabbit	Lock	Star	DarkRed	Tie	LightRed	Sawblade_Probe	Acorn_Probe	LightYellow	House	DarkGray	Sawblade	Hat_Probe	Stickyhand_Probe	LightYellow
LightGreen	Heart	DarkPurple_Probe	UpArrow	UpArrow	Stickyhand	LightPurple	Chevron_Probe	Jellyfish	LightTurquiose	Hourglass	Bar	Rabbit	Lock	Star	DarkRed	Tie	LightRed	Sawblade_Probe	Acorn_Probe	LightYellow	House	DarkGray	Sawblade	Hat_Probe	Stickyhand_Probe	LightYellow
LightGreen	Heart	DarkPurple_Probe	UpArrow	UpArrow	Stickyhand	LightPurple	Chevron_Probe	Jellyfish	LightTurquiose	Hourglass	Bar	Rabbit	Lock	Star	DarkRed	Tie	LightRed	Sawblade_Probe	Acorn_Probe	LightYellow	House	DarkGray	Sawblade	Hat_Probe	Stickyhand_Probe	LightYellow
LightGreen	Heart	DarkPurple_Probe	UpArrow	UpArrow	Stickyhand	LightPurple	Chevron_Probe	Jellyfish	LightTurquiose	Hourglass	Bar	Rabbit	Lock	Star	DarkRed	Tie	LightRed	Sawblade_Probe	Acorn_Probe	LightYellow	House	DarkGray	Sawblade	Hat_Probe	Stickyhand_Probe	LightYellow
LightGreen	Heart	DarkPurple_Probe	UpArrow	UpArrow	Stickyhand	LightPurple	Chevron_Probe	Jellyfish	LightTurquiose	Hourglass	Bar	Rabbit	Lock	Star	DarkRed	Tie	LightRed	Sawblade_Probe	Acorn_Probe	LightYellow	House	DarkGray	Sawblade	Hat_Probe	Stickyhand_Probe	LightYellow
LightGreen	Heart	DarkPurple_Probe	UpArrow	UpArrow	Stickyhand	LightPurple	Chevron_Probe	Jellyfish	LightTurquiose	Hourglass	Bar	Rabbit	Lock	Star	DarkRed	Tie	LightRed	Sawblade_Probe	Acorn_Probe	LightYellow	House	DarkGray	Sawblade	Hat_Probe	Stickyhand_Probe	LightYellow
LightGreen	Heart	DarkPurple_Probe	UpArrow	UpArrow	Stickyhand	LightPurple	Chevron_Probe	Jellyfish	LightTurquiose	Hourglass	Bar	Rabbit	Lock	Star	DarkRed	Tie	LightRed	Sawblade_Probe	Acorn_Probe	LightYellow	House	DarkGray	Sawblade	Hat_Probe	Stickyhand_Probe	LightYellow
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	DarkPurple_Choice	Background	Background	Background	Background	Chevron_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Sawblade_Choice	Acorn_Choice	Background	Background	Background	Background	Hat_Choice	Stickyhand_Choice	Background
Nail	Dodecagon	Acorn	LightGray	Ditto_Probe	LightGreen	Puzzle	UpArrow	Hat_Probe	LeftArrow	Chevron	LightRed	LightRed	Star	LightGreen	Spike_Probe	Hourglass	LeftArrow	LightYellow	LightPurple	Nail_Probe	Dodecagon	Star_Probe	DarkBlue_Probe	Ditto_Probe	DarkGray_Probe	Spike_Probe
Nail	Dodecagon	Acorn	LightGray	Ditto_Probe	LightGreen	Puzzle	UpArrow	Hat_Probe	LeftArrow	Chevron	LightRed	LightRed	Star	LightGreen	Spike_Probe	Hourglass	LeftArrow	LightYellow	LightPurple	Nail_Probe	Dodecagon	Star_Probe	DarkBlue_Probe	Ditto_Probe	DarkGray_Probe	Spike_Probe
Nail	Dodecagon	Acorn	LightGray	Ditto_Probe	LightGreen	Puzzle	UpArrow	Hat_Probe	LeftArrow	Chevron	LightRed	LightRed	Star	LightGreen	Spike_Probe	Hourglass	LeftArrow	LightYellow	LightPurple	Nail_Probe	Dodecagon	Star_Probe	DarkBlue_Probe	Ditto_Probe	DarkGray_Probe	Spike_Probe
Nail	Dodecagon	Acorn	LightGray	Ditto_Probe	LightGreen	Puzzle	UpArrow	Hat_Probe	LeftArrow	Chevron	LightRed	LightRed	Star	LightGreen	Spike_Probe	Hourglass	LeftArrow	LightYellow	LightPurple	Nail_Probe	Dodecagon	Star_Probe	DarkBlue_Probe	Ditto_Probe	DarkGray_Probe	Spike_Probe
Nail	Dodecagon	Acorn	LightGray	Ditto_Probe	LightGreen	Puzzle	UpArrow	Hat_Probe	LeftArrow	Chevron	LightRed	LightRed	Star	LightGreen	Spike_Probe	Hourglass	LeftArrow	LightYellow	LightPurple	Nail_Probe	Dodecagon	Star_Probe	DarkBlue_Probe	Ditto_Probe	DarkGray_Probe	Spike_Probe
Nail	Dodecagon	Acorn	LightGray	Ditto_Probe	LightGreen	Puzzle	UpArrow	Hat_Probe	LeftArrow	Chevron	LightRed	LightRed	Star	LightGreen	Spike_Probe	Hourglass	LeftArrow	LightYellow	LightPurple	Nail_Probe	Dodecagon	Star_Probe	DarkBlue_Probe	Ditto_Probe	DarkGray_Probe	Spike_Probe
Nail	Dodecagon	Acorn	LightGray	Ditto_Probe	LightGreen	Puzzle	UpArrow	Hat_Probe	LeftArrow	Chevron	LightRed	LightRed	Star	LightGreen	Spike_Probe	Hourglass	LeftArrow	LightYellow	LightPurple	Nail_Probe	Dodecagon	Star_Probe	DarkBlue_Probe	Ditto_Probe	DarkGray_Probe	Spike_Probe
Nail	Dodecagon	Acorn	LightGray	Ditto_Probe	LightGreen	Puzzle	UpArrow	Hat_Probe	LeftArrow	Chevron	LightRed	LightRed	Star	LightGreen	Spike_Probe	Hourglass	LeftArrow	LightYellow	LightPurple	Nail_Probe	Dodecagon	Star_Probe	DarkBlue_Probe	Ditto_Probe	DarkGray_Probe	Spike_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Ditto_Choice	Background	Background	Background	Hat_Choice	Background	Background	Background	Background	Background	Background	Spike_Choice	Background	Background	Background	Background	Nail_Choice	Background	Star_Choice	DarkBlue_Choice	Ditto_Choice	DarkGray_Choice	Spike_Choice
Crowbar	DarkRed	Dodecagon	Jellyfish	LightBlue_Probe	Bar_Probe	Jellyfish	DarkYellow	LightGreen	Bar	LightYellow	Bell	Jellyfish	LightGreen	Venn_Probe	LeftArrow_Probe	LightPurple_Probe	Puzzle	Heart	Venn_Probe	Tie	DarkBlue_Probe	Rabbit	Jellyfish	DarkTurquiose	Spade	Ditto
Crowbar	DarkRed	Dodecagon	Jellyfish	LightBlue_Probe	Bar_Probe	Jellyfish	DarkYellow	LightGreen	Bar	LightYellow	Bell	Jellyfish	LightGreen	Venn_Probe	LeftArrow_Probe	LightPurple_Probe	Puzzle	Heart	Venn_Probe	Tie	DarkBlue_Probe	Rabbit	Jellyfish	DarkTurquiose	Spade	Ditto
Crowbar	DarkRed	Dodecagon	Jellyfish	LightBlue_Probe	Bar_Probe	Jellyfish	DarkYellow	LightGreen	Bar	LightYellow	Bell	Jellyfish	LightGreen	Venn_Probe	LeftArrow_Probe	LightPurple_Probe	Puzzle	Heart	Venn_Probe	Tie	DarkBlue_Probe	Rabbit	Jellyfish	DarkTurquiose	Spade	Ditto
Crowbar	DarkRed	Dodecagon	Jellyfish	LightBlue_Probe	Bar_Probe	Jellyfish	DarkYellow	LightGreen	Bar	LightYellow	Bell	Jellyfish	LightGreen	Venn_Probe	LeftArrow_Probe	LightPurple_Probe	Puzzle	Heart	Venn_Probe	Tie	DarkBlue_Probe	Rabbit	Jellyfish	DarkTurquiose	Spade	Ditto
Crowbar	DarkRed	Dodecagon	Jellyfish	LightBlue_Probe	Bar_Probe	Jellyfish	DarkYellow	LightGreen	Bar	LightYellow	Bell	Jellyfish	LightGreen	Venn_Probe	LeftArrow_Probe	LightPurple_Probe	Puzzle	Heart	Venn_Probe	Tie	DarkBlue_Probe	Rabbit	Jellyfish	DarkTurquiose	Spade	Ditto
Crowbar	DarkRed	Dodecagon	Jellyfish	LightBlue_Probe	Bar_Probe	Jellyfish	DarkYellow	LightGreen	Bar	LightYellow	Bell	Jellyfish	LightGreen	Venn_Probe	LeftArrow_Probe	LightPurple_Probe	Puzzle	Heart	Venn_Probe	Tie	DarkBlue_Probe	Rabbit	Jellyfish	DarkTurquiose	Spade	Ditto
Crowbar	DarkRed	Dodecagon	Jellyfish	LightBlue_Probe	Bar_Probe	Jellyfish	DarkYellow	LightGreen	Bar	LightYellow	Bell	Jellyfish	LightGreen	Venn_Probe	LeftArrow_Probe	LightPurple_Probe	Puzzle	Heart	Venn_Probe	Tie	DarkBlue_Probe	Rabbit	Jellyfish	DarkTurquiose	Spade	Ditto
Crowbar	DarkRed	Dodecagon	Jellyfish	LightBlue_Probe	Bar_Probe	Jellyfish	DarkYellow	LightGreen	Bar	LightYellow	Bell	Jellyfish	LightGreen	Venn_Probe	LeftArrow_Probe	LightPurple_Probe	Puzzle	Heart	Venn_Probe	Tie	DarkBlue_Probe	Rabbit	Jellyfish	DarkTurquiose	Spade	Ditto
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	LightBlue_Choice	Bar_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Venn_Choice	LeftArrow_Choice	LightPurple_Choice	Background	Background	Venn_Choice	Background	DarkBlue_Choice	Background	Background	Background	Background	Background
LightTurquiose_Probe	House_Probe	LightGray_Probe	Spike	Dodecagon	Acorn	LightRed_Probe	Jellyfish	Acorn	LightBlue	Lock_Probe	UpArrow_Probe	Dodecagon	Diamond	LeftArrow	LightPurple	House	DarkGray	Hat_Probe	Tie	LightRed_Probe	LeftArrow_Probe	LightGray	Spike	Lock	Chevron	DarkRed
LightTurquiose_Probe	House_Probe	LightGray_Probe	Spike	Dodecagon	Acorn	LightRed_Probe	Jellyfish	Acorn	LightBlue	Lock_Probe	UpArrow_Probe	Dodecagon	Diamond	LeftArrow	LightPurple	House	DarkGray	Hat_Probe	Tie	LightRed_Probe	LeftArrow_Probe	LightGray	Spike	Lock	Chevron	DarkRed
LightTurquiose_Probe	House_Probe	LightGray_Probe	Spike	Dodecagon	Acorn	LightRed_Probe	Jellyfish	Acorn	LightBlue	Lock_Probe	UpArrow_Probe	Dodecagon	Diamond	LeftArrow	LightPurple	House	DarkGray	Hat_Probe	Tie	LightRed_Probe	LeftArrow_Probe	LightGray	Spike	Lock	Chevron	DarkRed
LightTurquiose_Probe	House_Probe	LightGray_Probe	Spike	Dodecagon	Acorn	LightRed_Probe	Jellyfish	Acorn	LightBlue	Lock_Probe	UpArrow_Probe	Dodecagon	Diamond	LeftArrow	LightPurple	House	DarkGray	Hat_Probe	Tie	LightRed_Probe	LeftArrow_Probe	LightGray	Spike	Lock	Chevron	DarkRed
LightTurquiose_Probe	House_Probe	LightGray_Probe	Spike	Dodecagon	Acorn	LightRed_Probe	Jellyfish	Acorn	LightBlue	Lock_Probe	UpArrow_Probe	Dodecagon	Diamond	LeftArrow	LightPurple	House	DarkGray	Hat_Probe	Tie	LightRed_Probe	LeftArrow_Probe	LightGray	Spike	Lock	Chevron	DarkRed
LightTurquiose_Probe	House_Probe	LightGray_Probe	Spike	Dodecagon	Acorn	LightRed_Probe	Jellyfish	Acorn	LightBlue	Lock_Probe	UpArrow_Probe	Dodecagon	Diamond	LeftArrow	LightPurple	House	DarkGray	Hat_Probe	Tie	LightRed_Probe	LeftArrow_Probe	LightGray	Spike	Lock	Chevron	DarkRed
LightTurquiose_Probe	House_Probe	LightGray_Probe	Spike	Dodecagon	Acorn	LightRed_Probe	Jellyfish	Acorn	LightBlue	Lock_Probe	UpArrow_Probe	Dodecagon	Diamond	LeftArrow	LightPurple	House	DarkGray	Hat_Probe	Tie	LightRed_Probe	LeftArrow_Probe	LightGray	Spike	Lock	Chevron	DarkRed
LightTurquiose_Probe	House_Probe	LightGray_Probe	Spike	Dodecagon	Acorn	LightRed_Probe	Jellyfish	Acorn	LightBlue	Lock_Probe	UpArrow_Probe	Dodecagon	Diamond	LeftArrow	LightPurple	House	DarkGray	Hat_Probe	Tie	LightRed_Probe	LeftArrow_Probe	LightGray	Spike	Lock	Chevron	DarkRed
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightTurquiose_Choice	House_Choice	LightGray_Choice	Background	Background	Background	LightRed_Choice	Background	Background	Background	Lock_Choice	UpArrow_Choice	Background	Background	Background	Background	Background	Background	Hat_Choice	Background	LightRed_Choice	LeftArrow_Choice	Background	Background	Background	Background	Background
Lock	Spade	Stickyhand	DarkTurquiose	Gem	DarkYellow	Spike_Probe	Nail	Nail	Tie	Star	LightGray	DarkBlue_Probe	Jellyfish	DarkTurquiose	Dodecagon	Spade	Gem_Probe	DarkRed	DarkBlue	Spike	Hourglass	Acorn	LightGreen	Crowbar	DarkRed	Puzzle
Lock	Spade	Stickyhand	DarkTurquiose	Gem	DarkYellow	Spike_Probe	Nail	Nail	Tie	Star	LightGray	DarkBlue_Probe	Jellyfish	DarkTurquiose	Dodecagon	Spade	Gem_Probe	DarkRed	DarkBlue	Spike	Hourglass	Acorn	LightGreen	Crowbar	DarkRed	Puzzle
Lock	Spade	Stickyhand	DarkTurquiose	Gem	DarkYellow	Spike_Probe	Nail	Nail	Tie	Star	LightGray	DarkBlue_Probe	Jellyfish	DarkTurquiose	Dodecagon	Spade	Gem_Probe	DarkRed	DarkBlue	Spike	Hourglass	Acorn	LightGreen	Crowbar	DarkRed	Puzzle
Lock	Spade	Stickyhand	DarkTurquiose	Gem	DarkYellow	Spike_Probe	Nail	Nail	Tie	Star	LightGray	DarkBlue_Probe	Jellyfish	DarkTurquiose	Dodecagon	Spade	Gem_Probe	DarkRed	DarkBlue	Spike	Hourglass	Acorn	LightGreen	Crowbar	DarkRed	Puzzle
Lock	Spade	Stickyhand	DarkTurquiose	Gem	DarkYellow	Spike_Probe	Nail	Nail	Tie	Star	LightGray	DarkBlue_Probe	Jellyfish	DarkTurquiose	Dodecagon	Spade	Gem_Probe	DarkRed	DarkBlue	Spike	Hourglass	Acorn	LightGreen	Crowbar	DarkRed	Puzzle
Lock	Spade	Stickyhand	DarkTurquiose	Gem	DarkYellow	Spike_Probe	Nail	Nail	Tie	Star	LightGray	DarkBlue_Probe	Jellyfish	DarkTurquiose	Dodecagon	Spade	Gem_Probe	DarkRed	DarkBlue	Spike	Hourglass	Acorn	LightGreen	Crowbar	DarkRed	Puzzle
Lock	Spade	Stickyhand	DarkTurquiose	Gem	DarkYellow	Spike_Probe	Nail	Nail	Tie	Star	LightGray	DarkBlue_Probe	Jellyfish	DarkTurquiose	Dodecagon	Spade	Gem_Probe	DarkRed	DarkBlue	Spike	Hourglass	Acorn	LightGreen	Crowbar	DarkRed	Puzzle
Lock	Spade	Stickyhand	DarkTurquiose	Gem	DarkYellow	Spike_Probe	Nail	Nail	Tie	Star	LightGray	DarkBlue_Probe	Jellyfish	DarkTurquiose	Dodecagon	Spade	Gem_Probe	DarkRed	DarkBlue	Spike	Hourglass	Acorn	LightGreen	Crowbar	DarkRed	Puzzle
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Spike_Choice	Background	Background	Background	Background	Background	DarkBlue_Choice	Background	Background	Background	Background	Gem_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background
Pacman	LightGray_Probe	Spade	House_Probe	LightPurple	Hourglass	Crowbar	LightRed	DarkPurple_Probe	Sawblade	DarkRed	Heart	Ditto	LightBlue	Bar	Pacman	DarkGray	Spike	Bell	Spade	Chevron	DarkTurquiose	Hourglass_Probe	LeftArrow_Probe	LightYellow	Puzzle	Pacman
Pacman	LightGray_Probe	Spade	House_Probe	LightPurple	Hourglass	Crowbar	LightRed	DarkPurple_Probe	Sawblade	DarkRed	Heart	Ditto	LightBlue	Bar	Pacman	DarkGray	Spike	Bell	Spade	Chevron	DarkTurquiose	Hourglass_Probe	LeftArrow_Probe	LightYellow	Puzzle	Pacman
Pacman	LightGray_Probe	Spade	House_Probe	LightPurple	Hourglass	Crowbar	LightRed	DarkPurple_Probe	Sawblade	DarkRed	Heart	Ditto	LightBlue	Bar	Pacman	DarkGray	Spike	Bell	Spade	Chevron	DarkTurquiose	Hourglass_Probe	LeftArrow_Probe	LightYellow	Puzzle	Pacman
Pacman	LightGray_Probe	Spade	House_Probe	LightPurple	Hourglass	Crowbar	LightRed	DarkPurple_Probe	Sawblade	DarkRed	Heart	Ditto	LightBlue	Bar	Pacman	DarkGray	Spike	Bell	Spade	Chevron	DarkTurquiose	Hourglass_Probe	LeftArrow_Probe	LightYellow	Puzzle	Pacman
Pacman	LightGray_Probe	Spade	House_Probe	LightPurple	Hourglass	Crowbar	LightRed	DarkPurple_Probe	Sawblade	DarkRed	Heart	Ditto	LightBlue	Bar	Pacman	DarkGray	Spike	Bell	Spade	Chevron	DarkTurquiose	Hourglass_Probe	LeftArrow_Probe	LightYellow	Puzzle	Pacman
Pacman	LightGray_Probe	Spade	House_Probe	LightPurple	Hourglass	Crowbar	LightRed	DarkPurple_Probe	Sawblade	DarkRed	Heart	Ditto	LightBlue	Bar	Pacman	DarkGray	Spike	Bell	Spade	Chevron	DarkTurquiose	Hourglass_Probe	LeftArrow_Probe	LightYellow	Puzzle	Pacman
Pacman	LightGray_Probe	Spade	House_Probe	LightPurple	Hourglass	Crowbar	LightRed	DarkPurple_Probe	Sawblade	DarkRed	Heart	Ditto	LightBlue	Bar	Pacman	DarkGray	Spike	Bell	Spade	Chevron	DarkTurquiose	Hourglass_Probe	LeftArrow_Probe	LightYellow	Puzzle	Pacman
Pacman	LightGray_Probe	Spade	House_Probe	LightPurple	Hourglass	Crowbar	LightRed	DarkPurple_Probe	Sawblade	DarkRed	Heart	Ditto	LightBlue	Bar	Pacman	DarkGray	Spike	Bell	Spade	Chevron	DarkTurquiose	Hourglass_Probe	LeftArrow_Probe	LightYellow	Puzzle	Pacman
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	LightGray_Choice	Background	House_Choice	Background	Background	Background	Background	DarkPurple_Choice	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Hourglass_Choice	LeftArrow_Choice	Background	Background	Background
DarkTurquiose_Probe	Crowbar	LightYellow	Spade_Probe	Diamond	House_Probe	DarkRed	LeftArrow	Gem	LightGray_Probe	Diamond	Spike	Hourglass	Hourglass_Probe	Tie_Probe	LightTurquiose	Jellyfish	DarkGreen_Probe	Venn	Gem	DarkGreen	Ditto	DarkPurple	Nail	UpArrow	LeftArrow	DarkGreen
DarkTurquiose_Probe	Crowbar	LightYellow	Spade_Probe	Diamond	House_Probe	DarkRed	LeftArrow	Gem	LightGray_Probe	Diamond	Spike	Hourglass	Hourglass_Probe	Tie_Probe	LightTurquiose	Jellyfish	DarkGreen_Probe	Venn	Gem	DarkGreen	Ditto	DarkPurple	Nail	UpArrow	LeftArrow	DarkGreen
DarkTurquiose_Probe	Crowbar	LightYellow	Spade_Probe	Diamond	House_Probe	DarkRed	LeftArrow	Gem	LightGray_Probe	Diamond	Spike	Hourglass	Hourglass_Probe	Tie_Probe	LightTurquiose	Jellyfish	DarkGreen_Probe	Venn	Gem	DarkGreen	Ditto	DarkPurple	Nail	UpArrow	LeftArrow	DarkGreen
DarkTurquiose_Probe	Crowbar	LightYellow	Spade_Probe	Diamond	House_Probe	DarkRed	LeftArrow	Gem	LightGray_Probe	Diamond	Spike	Hourglass	Hourglass_Probe	Tie_Probe	LightTurquiose	Jellyfish	DarkGreen_Probe	Venn	Gem	DarkGreen	Ditto	DarkPurple	Nail	UpArrow	LeftArrow	DarkGreen
DarkTurquiose_Probe	Crowbar	LightYellow	Spade_Probe	Diamond	House_Probe	DarkRed	LeftArrow	Gem	LightGray_Probe	Diamond	Spike	Hourglass	Hourglass_Probe	Tie_Probe	LightTurquiose	Jellyfish	DarkGreen_Probe	Venn	Gem	DarkGreen	Ditto	DarkPurple	Nail	UpArrow	LeftArrow	DarkGreen
DarkTurquiose_Probe	Crowbar	LightYellow	Spade_Probe	Diamond	House_Probe	DarkRed	LeftArrow	Gem	LightGray_Probe	Diamond	Spike	Hourglass	Hourglass_Probe	Tie_Probe	LightTurquiose	Jellyfish	DarkGreen_Probe	Venn	Gem	DarkGreen	Ditto	DarkPurple	Nail	UpArrow	LeftArrow	DarkGreen
